founder,size,n,manager_skill,EBITDA_share,sales
0,50,2323,.0935132503297266,.14941971,43.5388380049465
1,50,1920,.0825396270654397,.14959009,43.46372034764827
0,100,824,.1347701549463921,.12738711,143.4024047058824
1,100,681,.0890635917774257,.11367888,140.84906095791
0,200,870,.1683176587751062,.12128804,316.1882438202247
1,200,631,.1098029244661789,.10188513,314.4114735202492
0,500,482,.1483201025622439,.12047475,706.5776265306127
1,500,278,.1741943622651312,.10356693,695.0930719424464
0,1000,590,.2428263718127851,.088877991,4922.089291245788
1,1000,280,.0808471900732721,.089303188,3097.181345195731
