i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,-.079673275,-.1622986,.002952049,.042156555,-.22180773,-.23846936,-.2051461,.0085009877,-1.7029178,-3.4689319,.063096404,.90104419,-9.2202673,-9.9128704,-8.5276642,.35337543,-7.5173492,.96786094,-9.4143219,-5.6203766,-.079673275,-.1622986,.002952049,.042156555,-.22180773,-.23846936,-.2051461,.0085009877,-.14213446,.043005139,-.22642298,-.057845935,-.038109582,.02016446,-.077631198,.0014120333,-.42958626,.016464299,-.46185568,-.39731684,,,
2,-3,-.010095218,-.085319519,.065129079,.038380448,-.19095017,-.20540974,-.17649059,.0073774685,-.21725519,-1.8361274,1.4016171,.82597041,-8.2469654,-8.8714619,-7.6224699,.31862625,-8.0297098,.88529646,-9.7648592,-6.2945604,-.010095218,-.085319519,.065129079,.038380448,-.19095017,-.20540974,-.17649059,.0073774685,-.18085495,.039083064,-.25745633,-.10425355,-.0048619523,.018484386,-.041090682,.031366777,-.38423863,.014845281,-.41333485,-.35514241,,,
3,-2,.023471378,-.044171575,.091114335,.034512345,-.14202039,-.15480649,-.12923428,.0065236432,.50097209,-.94279623,1.9447403,.73663002,-6.2865753,-6.8525558,-5.7205944,.28877094,-6.7875476,.79120946,-8.3382893,-5.2368054,.023471378,-.044171575,.091114335,.034512345,-.14202039,-.15480649,-.12923428,.0065236432,-.16549176,.035123494,-.23433255,-.09665098,.01121125,.016485037,-.02109883,.04352133,-.2929011,.013454277,-.319271,-.2665312,,,
4,-1,8.0564532e-29,-6.9251769e-09,6.9251769e-09,3.5333185e-09,0,0,0,0,1.7413388e-27,-1.4968225e-07,1.4968225e-07,7.6369901e-08,0,0,0,0,-1.7413388e-27,7.6369901e-08,-1.4968225e-07,1.4968225e-07,-2.1618756e-29,-6.9480874e-09,6.9480874e-09,3.5450076e-09,0,0,0,0,2.1618756e-29,3.5450076e-09,-6.9480874e-09,6.9480874e-09,3.8969408e-29,1.7090813e-09,-3.3497378e-09,3.3497378e-09,0,0,0,0,87.078888,0,0
5,0,.69020098,.595608,.78479397,.048262615,.64207184,.62482679,.6593169,.0087986588,18.425779,15.900502,20.951057,1.2884306,37.540119,36.531849,38.548389,.51443309,19.11434,1.3873336,16.395216,21.833464,.69020098,.595608,.78479397,.048262615,.64207184,.62482679,.6593169,.0087986588,-.048129141,.049058091,-.14428124,.048022948,.41235036,.028833777,.3558372,.46886352,1.7490511,.023968218,1.7020743,1.7960279,80.255096,17.559765,4.2303772
6,1,.85678238,.74574554,.96781927,.056652505,.73363739,.71143162,.75584322,.011329697,19.434702,16.916012,21.95339,1.2850691,34.322254,33.283386,35.361122,.53004444,14.887552,1.3900899,12.163026,17.612078,.85678238,.74574554,.96781927,.056652505,.73363739,.71143162,.75584322,.011329697,-.12314498,.057774287,-.2363805,-.0099094631,.43492904,.02875855,.37856331,.49129477,1.599126,.024695575,1.5507236,1.6475284,66.493126,17.716375,5.6804013
7,2,.80852145,.67674661,.94029629,.067233302,.76133829,.73598236,.78669429,.012936954,16.131994,13.502762,18.761229,1.3414702,32.265049,31.190479,33.339619,.54825991,16.133055,1.449183,13.292708,18.973402,.80852145,.67674661,.94029629,.067233302,.76133829,.73598236,.78669429,.012936954,-.047183156,.068466648,-.18137532,.087009013,.36101776,.030020751,.30217817,.41985735,1.5032777,.025544262,1.4532118,1.5533435,0,,
8,3,.69980335,.55527574,.84433097,.073739931,.77123368,.74171543,.80075186,.015060592,14.173316,11.246158,17.100473,1.4934753,31.28224,30.084944,32.479538,.6108771,17.108925,1.6135796,13.946367,20.271482,.69980335,.55527574,.84433097,.073739931,.77123368,.74171543,.80075186,.015060592,.071430326,.075262204,-.076080881,.21894154,.31718451,.03342247,.25167766,.38269135,1.457487,.028461691,1.4017031,1.5132709,91.440643,10.70179,2.1968665
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.510498,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.68133,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.43279,,
