i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,-.29726028,-.4514693,-.1430513,.078679509,-.30411881,-.35305768,-.25517991,.024969278,-.18270288,-.27748322,-.087922551,.048358202,-.24655314,-.28622854,-.20687774,.020242922,-.063850254,.052424151,-.16659971,.038899194,-.072509654,-.15114211,.0061227963,.040119335,-.24176785,-.26541945,-.21811624,.012067368,-.16925821,.041894898,-.2513707,-.087145716,-.22364534,.059194945,-.33966529,-.10762539,-.38367996,.031501539,-.44542184,-.32193807,,,
2,-3,-.35155463,-.48172966,-.22137958,.066417053,-.31235579,-.35601124,-.26870033,.0222736,-.22248434,-.3048667,-.14010194,.042032599,-.25536513,-.29105547,-.2196748,.01820969,-.032880798,.045807555,-.12266196,.05690036,-.081815541,-.14831297,-.015318098,.033927888,-.23803152,-.25802624,-.2180368,.010201575,-.15621598,.035428431,-.22565442,-.086777531,-.27234155,.051451817,-.37318525,-.17149784,-.39739296,.028337473,-.45293337,-.34185255,,,
3,-2,-.35495535,-.46148613,-.24842459,.054353435,-.24806136,-.28575984,-.2103629,.019234266,-.23182315,-.30139893,-.16224736,.035498504,-.20510381,-.23627391,-.1739337,.015903408,.026719332,.038898099,-.049519543,.1029582,-.056174699,-.10790104,-.0044483687,.026391471,-.16693595,-.1833953,-.15047662,.0083977757,-.11076126,.027695348,-.16504315,-.056479368,-.28377312,.043453474,-.36894035,-.19860588,-.31917754,.024748493,-.36768368,-.2706714,,,
4,-1,7.8609333e-32,7.8609333e-32,7.8609333e-32,0,0,0,0,0,5.2653954e-32,,,,0,0,0,0,-5.2653954e-32,,,,1.4108448e-27,-3.5004182e-09,3.5004182e-09,1.7859605e-09,0,0,0,0,-1.4108448e-27,1.7859605e-09,-3.5004182e-09,3.5004182e-09,6.4453343e-32,,,,0,0,0,0,73.310196,0,0
5,0,.65711224,.55233312,.76189137,.053459719,.67754847,.63667399,.71842295,.02085471,.49200571,.41355345,.57045794,.040027391,.59275472,.55699557,.62851387,.018244799,.10074902,.043989372,.014531432,.1869666,.81892973,.7436974,.89416206,.038384546,.79305488,.77061152,.81549829,.011450917,-.025874853,.040056173,-.10438351,.052633803,.60226083,.048997257,.50622797,.69829369,.9224304,.02839211,.8667829,.97807789,67.654854,.0051933918,.0035780082
6,1,.76836097,.63354242,.90317959,.068786256,.59040815,.5427953,.63802093,.0242927,.47513029,.3917627,.55849791,.042535271,.48361778,.44461694,.52261859,.019898746,.0084874928,.046959657,-.083551742,.10052673,1.0291728,.94202012,1.1163254,.044466443,.92483962,.89566231,.95401692,.014886655,-.10433316,.046892185,-.19624016,-.012426169,.58160377,.052067135,.47955406,.68365347,.75259417,.030965941,.69190204,.8132863,57.72337,.0040518451,.0039108736
7,2,.62158167,.46209505,.78106833,.081372231,.45972902,.40844265,.51101536,.026166989,.34523934,.25665715,.43382153,.045195825,.36581233,.32500309,.40662155,.020821419,.02057299,.04976137,-.076957501,.11810348,1.0315772,.91569793,1.1474566,.059123207,.96562731,.93164712,.9996075,.017337151,-.065949917,.061612744,-.18670867,.054808844,.42260513,.055323903,.31417227,.53103799,.56926817,.032401782,.50576186,.63277447,0,,
8,3,.35868275,.15844363,.55892187,.10216469,.33617496,.27977583,.39257407,.028775591,.17897795,.079061277,.27889463,.050978832,.26172599,.21781696,.30563501,.022402974,.082748041,.055684239,-.026391061,.19188714,.96127957,.81345439,1.1091048,.075422399,.97062016,.93067032,1.0105699,.020382928,.0093405843,.078128114,-.14378771,.16246888,.21908569,.062402841,.09677837,.34139302,.40729159,.034862958,.33896145,.47562173,78.64296,.00087103149,.00040732327
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.781464,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.773201,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.396515,,
