i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,-.38427192,-.62653625,-.14200762,.12360651,-.53079504,-.59613204,-.46545807,.033335809,-.1252569,-.20422514,-.046288665,.040290657,-.26074472,-.29284051,-.22864896,.016375696,-.13548782,.043491386,-.22072938,-.050246276,-.11084224,-.19462018,-.027064305,.042744629,-.24439134,-.26899558,-.21978709,.012553417,-.13354909,.044549879,-.22086525,-.046232935,-.25056005,.080596194,-.40852568,-.092594407,-.78531837,.049320791,-.88198537,-.68865138,,,
2,-3,-.29104677,-.49507239,-.087021135,.10409662,-.41358468,-.47041374,-.35675561,.028994953,-.098395877,-.167372,-.029419741,.035192549,-.20651804,-.23489489,-.17814119,.014478249,-.10812216,.038054373,-.18270737,-.033536963,-.11617362,-.18778841,-.044558823,.036538832,-.24463284,-.26598108,-.22328459,.010892162,-.12845922,.03812775,-.20318823,-.053730197,-.1968281,.0703981,-.33480585,-.058850355,-.62199694,.043606006,-.70746315,-.53653073,,,
3,-2,-.23506175,-.40963838,-.060485113,.089071348,-.3201803,-.37150031,-.26886031,.026184155,-.081748024,-.14246099,-.021035062,.030976571,-.16281833,-.1889156,-.13672104,.013315181,-.081070304,.033717088,-.14715458,-.014986025,-.072788209,-.12668021,-.018896202,.027496425,-.17248283,-.19005139,-.15491427,.0089637153,-.099694625,.02892061,-.15637797,-.04301127,-.16352624,.061964583,-.28497458,-.042077888,-.49038088,.040103044,-.56898141,-.41178036,,,
4,-1,-2.4536222e-28,-2.4536222e-28,-2.4536222e-28,0,0,0,0,0,-7.7605480e-29,,,,0,0,0,0,7.7605480e-29,,,,-2.4345093e-28,-2.4345093e-28,-2.4345093e-28,0,0,0,0,0,2.4345093e-28,0,2.4345093e-28,2.4345093e-28,-1.5523962e-28,,,,0,0,0,0,71.45816,0,0
5,0,1.9676168,1.7715713,2.1636624,.1000251,1.6895845,1.6336666,1.7455025,.028530074,.80267203,.72269696,.8826471,.040804356,1.0145501,.98097289,1.0481273,.017131541,.21187806,.044254776,.12514029,.29861584,.76760375,.69049484,.84471267,.039342009,.7437095,.72039288,.76702619,.01189647,-.02389425,.041101333,-.10445138,.05666288,1.6056405,.081623785,1.4456608,1.7656202,3.0556509,.051597264,2.9545221,3.1567798,65.63633,.015682045,.0098159416
6,1,2.5314281,2.264189,2.7986672,.13634898,1.6764214,1.6024202,1.7504226,.037756406,.75576496,.67597997,.83554995,.040707376,.81918937,.78302842,.85535038,.018449817,.063424408,.044693246,-.024172746,.15102156,.9807564,.88597238,1.0755404,.048360083,.88737428,.85557902,.9191696,.016222386,-.09338212,.051008463,-.19335687,.0065926299,1.5118091,.081429787,1.3522097,1.6714085,2.467258,.055567686,2.3583474,2.5761685,54.759007,.012254992,.010430808
7,2,2.390326,2.0788069,2.7018452,.15894125,1.5313094,1.4534769,1.6091418,.03971117,.61545616,.53524685,.69566548,.040923871,.70787072,.67189151,.74384993,.018357078,.092414558,.044852488,.0045052972,.18032382,1.0063536,.8822841,1.1304231,.063301921,.93848193,.90162891,.975335,.01880292,-.06787169,.066035464,-.19729882,.061555441,1.2311397,.081862859,1.0706913,1.391588,2.1319852,.055288371,2.023622,2.2403483,0,,
8,3,2.1991973,1.7767864,2.6216083,.21551973,1.4697781,1.3766918,1.5628643,.047493853,.47501996,.38378048,.56625944,.046551611,.6333338,.59322256,.67344511,.020465311,.15831384,.050851561,.058646612,.25798106,.95610672,.79877687,1.1134366,.08027181,.95841563,.91437989,1.0024513,.022467608,.0023089051,.083356805,-.16106743,.16568524,.95021534,.093120418,.7677027,1.132728,1.9074929,.061638009,1.7866846,2.0283012,73.232162,.0054772617,.0030812139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.063454,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.098,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.200378,,
