i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,-.00062077423,-.0014861283,.00024457992,.00044151532,-.000032560125,-.00020441838,.00013929812,.000087684391,-.013268282,-.031764157,.0052275932,.0094368448,-.0013534832,-.0084974132,.0057904469,.0036449293,.011914799,.010116301,-.0079127876,.031742387,.2789667,-.26158541,.8195188,.27579695,-.3877793,-.40419778,-.37136078,.0083769402,-.66674602,.27592415,-1.2075474,-.12594463,-.00029693075,.00021118707,-.00071084982,.0001169883,-.000063060834,.00016982279,-.00039590738,.0002697857,,,
2,-3,-.00046380947,-.0011938233,.00026620436,.00037246288,.00001469136,-.00012614968,.00015553241,.000071858994,-.0099814599,-.025691798,.0057288785,.0080156261,.00063450664,-.0054482915,.0067173047,.0031035254,.010615966,.0085954713,-.0062308479,.02746278,.48355317,.14104106,.82606524,.17475428,-.3364068,-.35035187,-.32246172,.0071149641,-.81996,.17489906,-1.1627558,-.47716415,-.00022337501,.00017938163,-.00057495653,.00012820654,.000029562627,.00014459796,-.00025384416,.00031296941,,,
3,-2,-.000041676234,-.00067291362,.00058956118,.00032206581,3.7311934e-06,-.00011870378,.00012616617,.000062467974,-.0008895357,-.01436264,.012583569,.006874159,.0001651624,-.0052544586,.0055847834,.0027651635,.0010546981,.0074094664,-.013467589,.015576986,.11709689,-.15674625,.39094004,.13971846,-.22877437,-.24013501,-.21741372,.0057963543,-.34587127,.13983864,-.61994994,-.07179258,-.000019906913,.00015383675,-.00032142139,.00028160759,7.6951674e-06,.00012883317,-.00024481321,.00026020355,,,
4,-1,-5.6249672e-35,-5.6249672e-35,-5.6249672e-35,0,0,0,0,0,-1.2157923e-33,,,,0,0,0,0,1.2157923e-33,,,,-2.4543563e-31,-2.4543563e-31,-2.4543563e-31,0,0,0,0,0,2.4543563e-31,0,2.4543563e-31,2.4543563e-31,-2.7208206e-35,,,,0,0,0,0,.09993092,0,0
5,0,.00060175842,.000061655977,.001141861,.00027556755,.00025485441,.00015661665,.00035309215,.000050122224,.016064696,.0016459835,.030483408,.0073566209,.014900614,.0091569312,.020644296,.002930504,-.0011640824,.0079188207,-.016684687,.014356521,.5330705,.028833471,1.0373076,.25726855,.70999926,.69620752,.72379106,.0070367465,.17692876,.25736475,-.32749689,.6813544,.0003595117,.00016463376,.000036835456,.00068218797,.00069424219,.00013653663,.00042663529,.00096184906,.084490739,.0026278417,.0030544703
6,1,.00063492521,-.000071694492,.0013415449,.00036052687,.00035369137,.00021035934,.0004970234,.00007312993,.014402236,-.0016262718,.030430743,.0081779603,.016546981,.0098413825,.02325258,.0034212868,.0021447456,.0088647753,-.015229895,.019519385,1.1293666,.79219317,1.4665401,.17203043,.843072,.82628536,.85985863,.0085647674,-.28629464,.17224351,-.62388569,.051296428,.00032230752,.0001830145,-.000036394318,.00068100938,.000770949,.00015940295,.00045852497,.0010833731,.064487465,.0042458265,.0032165071
7,2,.00090525916,-6.6499651e-06,.0018171683,.00046526833,.00041614246,.00023748554,.00059479941,.000091153175,.01806215,-.00013268318,.036256984,.0092832493,.017635861,.010064491,.025207233,.0038630152,-.00042628869,.010054929,-.020133588,.019281011,1.1599396,.70866895,1.6112102,.23024435,.90505892,.88658065,.92353719,.0094278641,-.25488073,.23043729,-.7065295,.19676808,.00040421271,.00020774976,-2.9693419e-06,.00081139477,.00082168158,.00017998375,.00046891993,.0011744433,0,,
8,3,.00079201895,-.00025902412,.001843062,.0005362563,.00028529239,.000074635507,.00049594929,.00010747998,.016040985,-.0052460888,.037328057,.010860951,.01157183,.0030273132,.020116348,.004359528,-.0044691544,.011703236,-.027407076,.018468767,.93519527,.41616562,1.4542249,.26481593,.91002023,.88980848,.93023193,.010312295,-.025175035,.26501665,-.5445981,.49424803,.00035898105,.00024305712,-.00011740215,.00083536428,.00053914916,.00020311703,.0001410471,.0009372512,.062184252,.002153395,.0041379156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.079061061,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.093666963,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.10736609,,
