i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,-.010288659,-.01562589,-.0049514286,.0027231269,-.010082791,-.011539163,-.0086264182,.00074306084,-.0059641129,-.0090579903,-.0028702358,.0015785377,-.0086811427,-.0099350596,-.0074272263,.00063976517,-.0027170298,.0017032559,-.0060553499,.00062129053,-.042186491,-.54142439,.45705143,.25471789,-.41420636,-.43115169,-.39726102,.0086457366,-.37201986,.25486457,-.87154526,.12750553,-.0070545301,.0018671415,-.01071406,-.003395,-.013950994,.0010281319,-.015966095,-.011935893,,,
2,-3,-.0073989159,-.011650505,-.0031473266,.0021692181,-.0075016157,-.0087418864,-.0062613455,.00063280266,-.0044746064,-.0070458194,-.0019033933,.0013118675,-.0063356045,-.0073830937,-.0052881148,.00053444324,-.0018609981,.0014165542,-.0046373932,.00091539713,.20477146,-.067659199,.47720212,.13899779,-.35483134,-.369133,-.34052968,.0072968984,-.5596028,.1391892,-.83240861,-.28679699,-.0052926973,.0015517159,-.0083340043,-.0022513901,-.010181607,.00085887476,-.01186497,-.0084982431,,,
3,-2,-.0056657288,-.0090310629,-.0023003949,.0017170387,-.0051295357,-.0061513199,-.004107751,.00052132818,-.0034640164,-.0055215755,-.0014064573,.0010497944,-.0041906307,-.0050253887,-.0033558726,.00042590479,-.00072661438,.0011329004,-.0029470583,.0014938295,.00027478347,-.17413229,.17468186,.088984832,-.23011442,-.24162975,-.21859908,.0058752783,-.23038919,.089178577,-.40517598,-.055602394,-.0040973416,.001241728,-.0065310835,-.0016635995,-.0067345356,.00068444852,-.0080760298,-.0053930413,,,
4,-1,-9.8085289e-31,-9.8085289e-31,-9.8085289e-31,0,0,0,0,0,-6.7992483e-31,,,,0,0,0,0,6.7992483e-31,,,,-1.7884684e-30,-1.7884684e-30,-1.7884684e-30,0,0,0,0,0,1.7884684e-30,0,1.7884684e-30,1.7884684e-30,-8.0423534e-31,,,,0,0,0,0,.097115457,0,0
5,0,.014752135,.012148602,.017355667,.0013283575,.011173267,.010317535,.012028998,.00043660562,.01037646,.0085451687,.012207752,.00093434966,.010073414,.0093019176,.010844911,.00039362788,-.00030304585,.0010138798,-.0022902137,.001684122,.60727465,.18200754,1.0325418,.216977,.74003339,.72604144,.75402534,.0071388823,.13275874,.21709441,-.29273847,.55825597,.012273585,.0011051766,.010107479,.014439692,.016188437,.00063257804,.014948606,.017428268,.08313223,.0012206298,.0012951766
6,1,.02510071,.021189192,.029012227,.0019957088,.017157914,.015956718,.018359112,.00061286666,.015039011,.012695437,.017382585,.0011957228,.014570987,.013550897,.015591078,.00052046374,-.00046802405,.0013040842,-.003023982,.0020879339,1.1114776,.81406325,1.4088919,.1517448,.87212908,.85513806,.8891201,.0086690467,-.23934853,.15199222,-.53724778,.058550742,.017788589,.0014143365,.01501654,.020560637,.023416243,.0008364091,.021776911,.025055576,.063964188,.0033192583,.0035359138
7,2,.024595274,.019606987,.02958356,.0025450909,.019527167,.018098325,.020956008,.00072901422,.013673015,.010899925,.016446106,.0014148682,.016335055,.015139787,.017530324,.00060984195,.0026620403,.0015407009,-.00035767799,.0056817587,1.1880037,.7880103,1.5879972,.20408204,.93790042,.9192211,.95657969,.009530426,-.25010324,.20430446,-.6505326,.15032615,.016172849,.0016735481,.012892755,.019452943,.026251182,.00098004402,.024330331,.028172033,0,,
8,3,.02911121,.02279661,.035425812,.0032217943,.023095731,.021402305,.024789155,.00086400809,.015259151,.011949243,.01856906,.0016887598,.019339457,.01792145,.020757465,.00072348653,.0040803058,.0018372105,.00047943939,.0076811723,1.037593,.52828759,1.5468984,.25985447,.94485605,.92438602,.96532601,.010444066,-.092736959,.26006427,-.60245359,.41697964,.018048977,.0019975153,.014133919,.021964036,.031079393,.001162676,.02880059,.033358198,.061311673,.0061002183,.0037976732
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.077327617,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.091118649,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.10383411,,
