i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,-.079941124,-.1158379,-.044044342,.018315021,-.10167861,-.11070521,-.092652,.0046054958,-.023337197,-.033816535,-.012857856,.0053467001,-.049041394,-.053395089,-.044687703,.0022213126,-.025704198,.0057897693,-.037051938,-.014356459,-.094506852,-.13583981,-.053173911,.021088626,-.39914805,-.40943956,-.38885653,.0052508703,-.30464119,.021732505,-.34723613,-.26204625,-.048196867,.011042208,-.069839194,-.026554536,-.16407438,.0074316906,-.17864022,-.14950854,,,
2,-3,-.070500888,-.097695492,-.043306284,.013875053,-.077685982,-.084781073,-.070590891,.003620011,-.021038128,-.029153256,-.012923002,.0041404469,-.037239887,-.040641017,-.033838753,.0017353034,-.016201759,.0044893851,-.025000792,-.0074027255,-.10492158,-.13800502,-.071838148,.016879614,-.35122526,-.3596563,-.34279424,.0043016262,-.24630368,.017419109,-.2804445,-.21216285,-.043448742,.008551009,-.060208414,-.026689073,-.1245909,.0058056838,-.13596983,-.11321197,,,
3,-2,-.037129469,-.055400159,-.018858783,.0093219513,-.041931663,-.046769705,-.037093621,.0024684342,-.011429845,-.017054249,-.0058054416,.0028696463,-.020071154,-.02238695,-.017755361,.0011815493,-.0086413091,.0031033738,-.01472381,-.0025588083,-.037497461,-.06232417,-.01267075,.012666921,-.21343051,-.21956855,-.20729247,.0031317114,-.17593305,.013048314,-.20150727,-.15035883,-.023605352,.0059265029,-.035221085,-.011989621,-.06715066,.0039530271,-.074898452,-.059402868,,,
4,-1,-9.5705581e-31,-2.2777842e-09,2.2777842e-09,1.1621561e-09,0,0,0,0,-2.8464043e-31,-6.7744171e-10,6.7744171e-10,3.4563988e-10,0,0,0,0,2.8464043e-31,3.4563988e-10,-6.7744171e-10,6.7744171e-10,-2.3819309e-29,-2.5418037e-09,2.5418037e-09,1.2968624e-09,0,0,0,0,2.3819309e-29,1.2968624e-09,-2.5418037e-09,2.5418037e-09,-5.8785024e-31,7.1382866e-10,-1.3990785e-09,1.3990785e-09,0,0,0,0,1.4669341,0,0
5,0,.19687508,.17806128,.21568888,.0095990561,.10703783,.10180424,.11227141,.0026702441,.070847861,.064077489,.077618234,.003454335,.061901554,.058874894,.064928211,.001544242,-.008946307,.0037837962,-.016362412,-.0015302027,.71165025,.67689651,.74640393,.01773181,.56348193,.55378413,.57317972,.0049479455,-.14816833,.018409217,-.18424973,-.11208692,.14631771,.0071340245,.13233528,.16030014,.20709972,.0051664631,.19697364,.2172258,1.066424,.0035931321,.0047067767
6,1,.30949071,.27752122,.34146023,.016311271,.19342315,.18519807,.20164825,.0041965521,.084775403,.076018348,.093532458,.0044679674,.093308143,.089340329,.097275957,.0020244322,.0085327402,.0049052071,-.001081289,.01814677,.94846815,.89512879,1.0018076,.027214475,.76284736,.75080115,.77489364,.0061461576,-.18562078,.027899873,-.24030353,-.13093804,.17508139,.0092274165,.15699598,.19316679,.31217456,.0067730015,.29889971,.32544941,.58201826,.014958997,.012348184
7,2,.39059395,.34568879,.43549907,.022911208,.26502034,.2545301,.27551058,.005352261,.093693852,.082922213,.10446548,.0054958337,.12242768,.11758165,.12727371,.0024725092,.028733827,.0060263993,.016922301,.040545352,1.0415784,.97297275,1.1101841,.035003532,.88281661,.86878425,.89684898,.0071595008,-.1587618,.03572822,-.22878782,-.088735774,.19350012,.011350205,.17125413,.2157461,.40959775,.0082721012,.39338472,.42581078,0,,
8,3,.4936749,.43179458,.55555522,.031572171,.33611646,.3229126,.34932032,.0067367866,.10423893,.091172971,.1173049,.0066664307,.14860183,.14276423,.15443945,.002978428,.044362895,.0073015294,.030052161,.058673631,1.0763313,.99120283,1.1614597,.04343367,.9479996,.93162036,.96437883,.0083569074,-.12833166,.044230323,-.21502151,-.04164182,.21527822,.013767767,.18829389,.24226256,.49716678,.0099647194,.47763628,.51669729,.80447972,.027449423,.013506562
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2712522,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6865999,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0577402,,
