i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,-.065079264,-.078147531,-.052010994,.0066676061,-.11640073,-.12003319,-.11276828,.001853328,-.037725039,-.045300432,-.030149646,.0038650674,-.10021941,-.10334691,-.097091921,.001595689,-.062494375,.0041815033,-.070689969,-.054298777,-.1643945,-.20131853,-.12747046,.018839139,-.4080404,-.41910869,-.39697212,.0056471876,-.24364591,.019667331,-.28219315,-.20509864,-.044622298,.0045717168,-.053582698,-.035661899,-.16105719,.0025643453,-.16608322,-.15603116,,,
2,-3,-.062650219,-.072462864,-.05283758,.005006542,-.092048079,-.094976746,-.089119405,.0014942471,-.037888668,-.043823011,-.031954326,.0030277816,-.07774061,-.080214061,-.075267158,.0012619881,-.039851941,.0032802555,-.046281125,-.033422757,-.18159099,-.21027306,-.15290892,.014633977,-.36061913,-.36943635,-.35180193,.0044986596,-.17902814,.01530984,-.20903488,-.1490214,-.044815846,.0035813502,-.051835164,-.037796527,-.12493272,.0020280727,-.12890767,-.12095777,,,
3,-2,-.03970461,-.046682823,-.032726392,.0035603796,-.056002446,-.058150101,-.05385479,.0010957629,-.024275325,-.028541796,-.020008856,.0021768103,-.045751818,-.047506366,-.043997265,.00089519517,-.021476492,.0023536945,-.02608965,-.016863335,-.12397934,-.14420024,-.10375844,.010316974,-.22785194,-.23426223,-.22144167,.0032706102,-.1038726,.010822978,-.12508525,-.08265996,-.028713576,.0025747959,-.033760082,-.023667069,-.073525265,.0014386197,-.076344907,-.070705622,,,
4,-1,1.4169927e-29,1.4169927e-29,1.4169927e-29,0,0,0,0,0,9.8225587e-30,,,,0,0,0,0,-9.8225587e-30,,,,-1.5349906e-27,-1.8929212e-08,1.8929212e-08,9.6579384e-09,0,0,0,0,1.5349906e-27,9.6579384e-09,-1.8929212e-08,1.8929212e-08,1.1618415e-29,,,,0,0,0,0,.31552243,0,0
5,0,.16742209,.16054559,.1742986,.0035084859,.11962352,.11720237,.12204467,.0012353023,.11776252,.11292568,.12259937,.0024678239,.10784824,.10566542,.11003107,.0011137055,-.009914279,.0027074886,-.015220859,-.0046076989,.72151273,.69230479,.75072068,.014902286,.65219611,.64232934,.66206288,.0050341608,-.069316626,.015729619,-.10014611,-.03848714,.13929302,.0029190155,.13357185,.14501418,.17331706,.0017897757,.16980916,.17682496,.24916662,.046680585,.05565758
6,1,.2889564,.27736333,.30054948,.0059149424,.1982882,.19444394,.20213246,.0019613937,.17312731,.16618136,.18007326,.0035439185,.16839196,.16512731,.17165661,.0016656687,-.0047353506,.0039158408,-.012410257,.0029395563,1.0415646,1.0018196,1.0813096,.02027842,.88586962,.87208861,.89965057,.0070312419,-.15569496,.02146282,-.19776131,-.1136286,.20478013,.0041918522,.19656426,.21299601,.27061358,.0026768059,.26536715,.27586001,.15575449,.18205479,.19243789
7,2,.31679839,.30176979,.33182698,.007667792,.23662449,.23197366,.24127533,.0023729168,.17611469,.16776,.18446939,.0042626769,.19794342,.19405286,.20183398,.0019850156,.021828726,.0047022016,.01261258,.031044872,1.085898,1.0363427,1.1354535,.025283812,.97890437,.96304959,.99475914,.0080893198,-.10699368,.02654634,-.15902355,-.054963805,.2083137,.0050420212,.19843152,.21819589,.31810415,.003190011,.31185183,.32435647,0,,
8,3,.3203634,.30168426,.33904254,.0095303496,.26094487,.25558195,.2663078,.0027362381,.16792409,.15813309,.17771509,.0049955007,.218505,.21401428,.2229957,.0022912212,.050580904,.0054958821,.039809171,.061352637,1.0553194,.99632406,1.1143148,.03010023,1.0108106,.99303901,1.0285823,.0090673408,-.044508815,.031436294,-.10612282,.01710519,.19862561,.0059088268,.18704452,.2102067,.35114753,.0036820974,.34393075,.35836431,.21150139,.22574052,.13332537
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.31751797,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.38243586,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.43285924,,
