i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,-.020406382,-.037721958,-.0030908098,.0088346386,-.0037092483,-.0076814587,.0002629621,.0020266753,-.006034384,-.011154783,-.00091398525,.0026124965,-.001883004,-.0038995009,.00013349298,.0010288439,.0041513802,.0028077853,-.0013517779,.0096545378,-.11731333,-.1561271,-.07849957,.019803304,-.3671717,-.37837547,-.35596791,.0057163197,-.24985838,.020611821,-.2902568,-.20945996,-.011882197,.0051442198,-.021964682,-.0017997115,-.0062258919,.00340173,-.01289316,.00044137635,,,
2,-3,-.020978585,-.034560274,-.007396894,.006929561,-.000056367706,-.0033284118,.0032156764,.001669441,-.006369187,-.010492645,-.0022457284,.002103844,-.000028437807,-.0016792015,.0016223259,.00084224186,.0063407491,.0022661709,.0018991356,.010782363,-.14691481,-.17677735,-.11705226,.015236271,-.32593516,-.33491129,-.31695899,.0045797508,-.17902035,.015909685,-.21020275,-.14783794,-.012541451,.0041426411,-.020660879,-.0044220244,-.000094025672,.0027847562,-.0055520474,.0053639961,,,
3,-2,-.013346227,-.023404339,-.0032881147,.0051317844,.0012578847,-.0012152875,.0037310568,.0012618457,-.0041924771,-.0073520523,-.001032902,.0016120578,.0006305828,-.00060922868,.0018703943,.0006325685,.0048230598,.0017317255,.0014289401,.0082171792,-.097219586,-.11874704,-.075692132,.010983597,-.20667616,-.21330781,-.2000445,.0033835608,-.10945657,.011492949,-.13198234,-.086930804,-.0082553308,.003174274,-.014476794,-.0020338681,.0020849349,.0020915002,-.0020143301,.0061841998,,,
4,-1,4.8677176e-30,4.8677176e-30,4.8677176e-30,0,0,0,0,0,1.4425101e-30,,,,0,0,0,0,-1.4425101e-30,,,,9.7389519e-26,-2.0019016e-08,2.0019016e-08,1.0213971e-08,0,0,0,0,-9.7389519e-26,1.0213971e-08,-2.0019016e-08,2.0019016e-08,2.8404205e-30,,,,0,0,0,0,.28991407,0,0
5,0,.023175258,.01180415,.034546364,.0058016917,-.033796132,-.036508016,-.031084249,.0013836395,.0080565959,.0041035688,.012009623,.0020168875,-.020323088,-.021953862,-.018692315,.00083204272,-.028379684,.0021817724,-.03265588,-.024103489,.66135132,.6306029,.69209975,.015688261,.60108173,.59089589,.61126757,.0051969513,-.060269594,.016526639,-.092661209,-.027877975,.015864098,.003971417,.0080802646,.023647932,-.067195483,.002751034,-.072587408,-.061803553,.22799505,.0018115652,.00028469361
6,1,.031139938,.013095205,.049184673,.0092066657,-.02438727,-.028589629,-.020184912,.0021440999,.0082890438,.0034857721,.013092316,.0024506939,-.012183118,-.014282485,-.010083752,.001071125,-.020472161,.0026745484,-.02571418,-.015230143,.97301137,.92875534,1.0172673,.022580007,.82712263,.81221908,.84202611,.0076039741,-.14588875,.023825977,-.19258681,-.09919069,.016321806,.0048256172,.0068637705,.025779841,-.040281791,.0035415266,-.047223058,-.033340525,.14306492,.0010374895,.00048025924
7,2,.07549385,.051540084,.099447608,.012221532,-.0079675727,-.012974724,-.0029604209,.0025547161,.017524602,.011964147,.023085058,.0028370193,-.0038088451,-.0062024808,-.0014152095,.0012212651,-.021333447,.003088716,-.027387219,-.015279675,1.0228775,.96803576,1.0777191,.027980957,.92753673,.91040546,.94466799,.0087406039,-.095340729,.029314367,-.15279584,-.037885625,.034507379,.0055863233,.023558386,.045456372,-.012593419,.0040379441,-.020507645,-.0046791942,0,,
8,3,.10280984,.07167919,.13394047,.015883273,.0066707432,.00069646112,.012645026,.0030481592,.020841604,.014530801,.027152406,.0032198564,.0030393889,.00031732838,.0057614492,.0013888319,-.017802216,.0035066123,-.024675051,-.010929382,1.0330797,.9667055,1.099454,.033865046,.9876914,.96817803,1.0072048,.0099559836,-.045388341,.035298198,-.11457154,.023794856,.041038826,.006340161,.02861234,.053465314,.010049319,.0045919805,.0010492025,.019049436,.19313255,.00004783184,.0022490898
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.28400746,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.34643227,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.39450836,,
