i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,-.14201888,-.17177421,-.11226356,.015181567,-.16823003,-.17543238,-.16102766,.0036747432,-.041996494,-.050795458,-.033197526,.0044893511,-.085402153,-.089058436,-.08174587,.0018654848,-.043405659,.0048615127,-.052934051,-.033877268,-.16568856,-.19086979,-.14050734,.012847801,-.32427517,-.33362544,-.31492487,.0047706412,-.15858661,.013704926,-.18544777,-.13172545,-.08269988,.0088404715,-.10002688,-.065372877,-.28229558,.0061663329,-.29438138,-.27020979,,,
2,-3,-.10847988,-.13165589,-.085303873,.01182471,-.12790419,-.13381784,-.12199054,.0030172232,-.032934953,-.039971285,-.025898617,.0035900322,-.064528346,-.067511812,-.061544877,.0015222053,-.031593394,.0038994155,-.039236106,-.023950679,-.16953106,-.19000903,-.1490531,.010448134,-.2854045,-.29339617,-.27741283,.0040774583,-.11587344,.011215577,-.13785557,-.093891315,-.064855807,.0070695244,-.078711823,-.050999794,-.21329752,.0050316276,-.22315933,-.2034357,,,
3,-2,-.048441269,-.063964911,-.032917622,.0079203723,-.074825704,-.078821771,-.07082963,.0020388488,-.015230752,-.020111648,-.010349856,.0024902991,-.037510816,-.039514083,-.035507552,.001022093,-.022280063,.0026918885,-.027556067,-.01700406,-.10744087,-.12180618,-.093075551,.0073293773,-.18689784,-.19238816,-.18140753,.0028012341,-.079456978,.0078464439,-.094835728,-.064078227,-.029992536,.0049039195,-.039604042,-.02038103,-.12399147,.0033785137,-.13061324,-.1173697,,,
4,-1,2.9327210e-29,2.9327210e-29,2.9327210e-29,0,0,0,0,0,8.6919378e-30,,,,0,0,0,0,-8.6919378e-30,,,,-2.4809474e-29,-2.4809474e-29,-2.4809474e-29,0,0,0,0,0,2.4809474e-29,0,2.4809474e-29,2.4809474e-29,1.7116243e-29,,,,0,0,0,0,.6492269,0,0
5,0,.35515743,.33274657,.3775683,.011434327,.25145653,.24606946,.2568436,.0027485546,.12347825,.11568662,.13126987,.0039753933,.15118122,.14794241,.15442005,.0016524893,.027702972,.0043051681,.019264998,.036140945,.54074603,.51918322,.56230885,.011001638,.49738812,.4890545,.50572175,.0042519267,-.043357909,.011794699,-.066475093,-.020240722,.2431545,.0078283809,.22781116,.25849783,.49972737,.0054622795,.48902151,.51043326,.48636323,.046993192,.031348746
6,1,.57245219,.5378561,.60704833,.017651403,.3550995,.34690255,.36329645,.0041821944,.15245424,.14324068,.16166779,.0047008819,.17735802,.17326397,.18145205,.0020888352,.024903774,.0051440764,.014821569,.034985978,.83561826,.80343544,.86780113,.016420119,.72047257,.707771,.73317415,.0064805122,-.11514568,.017652687,-.14974432,-.08054705,.30021429,.0092570195,.28207088,.31835771,.58625436,.0069046151,.57272154,.59978718,.27474377,.11449165,.084596261
7,2,.65625101,.6104849,.70201713,.023350488,.4169035,.407033,.42677397,.0050360542,.15238847,.14176109,.16301586,.0054222331,.19922082,.19450413,.20393752,.002406521,.046832353,.0059322808,.035205297,.058459409,.89136362,.85187805,.93084913,.020146055,.82240677,.80747771,.83733582,.0076170051,-.068956852,.021537928,-.11117042,-.026743289,.30008477,.010677511,.27915722,.32101232,.65852159,.0079547204,.64293063,.67411256,0,,
8,3,.70051587,.64087886,.76015288,.030427605,.47016728,.45846185,.48187271,.0059722671,.14230183,.13018724,.1544164,.0061810203,.21419518,.2088625,.21952784,.0027208005,.071893349,.0067533525,.05865702,.085129678,.94505543,.89470786,.99540299,.025688006,.90458924,.88666099,.92251748,.0091472305,-.040466189,.02726803,-.093910545,.012978167,.28022206,.012171721,.25636593,.30407819,.70801908,.008993567,.69039202,.72564614,.42635709,.10760833,.047494952
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.65196037,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.81493098,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.94537067,,
