i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,-.045536976,-.072915085,-.018158872,.013968678,-.058311567,-.065398574,-.05122456,.0036158864,-.012463668,-.019957175,-.0049701617,.003823288,-.024616303,-.027608091,-.021624515,.0015264505,-.012152635,.0041167443,-.020221304,-.004083964,-.095413387,-.1525659,-.038260877,.02915998,-.28110334,-.29720506,-.26500162,.0082153128,-.18568996,.030295145,-.24506734,-.12631257,-.028694652,.0088022174,-.04594668,-.011442623,-.08741428,.0054205367,-.098038338,-.076790221,,,
2,-3,-.028044602,-.049930759,-.006158445,.011166612,-.042423978,-.048334546,-.036513411,.0030156514,-.0078449463,-.013967184,-.0017227083,.0031236482,-.018108901,-.020631857,-.015585943,.0012872466,-.010263954,.0033784881,-.01688567,-.0036422391,-.10106262,-.14813074,-.053994492,.024014791,-.24527374,-.258627,-.2319205,.0068130083,-.14421111,.024962518,-.19313675,-.095285475,-.018061135,.007191462,-.03215614,-.0039661285,-.064306021,.0045711063,-.073265225,-.055346817,,,
3,-2,-.023541307,-.04025301,-.0068296031,.0085265357,-.028839447,-.033361167,-.024317726,.0023070425,-.0069597205,-.011900347,-.0020190948,.0025207738,-.012563828,-.014533703,-.010593953,.0010050569,-.0056041079,.0027137501,-.01092296,-.00028525537,-.054989811,-.095427096,-.014552527,.020631647,-.16074143,-.17142703,-.15005584,.0054519335,-.10575162,.021339832,-.14757691,-.063926317,-.016023112,.0058034859,-.027397735,-.0046484889,-.044615068,.0035690302,-.051610239,-.037619896,,,
4,-1,-2.3255531e-30,-2.3255531e-30,-2.3255531e-30,0,0,0,0,0,-6.4498308e-31,,,,0,0,0,0,6.4498308e-31,,,,3.3825327e-31,-4.3393777e-09,4.3393777e-09,2.2140090e-09,0,0,0,0,-3.3825327e-31,2.2140090e-09,-4.3393777e-09,4.3393777e-09,-1.4849211e-30,,,,0,0,0,0,.31258211,0,0
5,0,.058597691,.03920003,.077995352,.009896948,.095176414,.090238564,.10011426,.0025193575,.019123431,.012792979,.025453882,.0032298816,.048755366,.046225891,.051284842,.0012905726,.029631935,.0034781767,.022814834,.036449037,.70353538,.64189434,.76517636,.03145007,.613693,.59818393,.62920207,.0079129357,-.089842379,.032430254,-.1534045,-.026280249,.044027183,.0074360394,.029452814,.058601551,.17313385,.0045829173,.1641515,.1821162,.25720608,.0092419498,.001421839
6,1,.16343902,.13181876,.19505928,.016133085,.13592103,.12869363,.14314842,.0036875159,.036534969,.029466612,.043603327,.0036063711,.057089631,.054053973,.060125284,.0015488322,.020554662,.0039248941,.012862011,.028247314,1.0137668,.93606198,1.0914716,.039646029,.74542248,.72466236,.76618254,.010592077,-.26834428,.041036565,-.34877446,-.18791409,.084113128,.0083028171,.067839906,.10038635,.20272943,.0055000158,.19194961,.21350926,.18349357,.017762072,.0072743907
7,2,.20590898,.16432576,.24749219,.021216318,.16480722,.15647371,.17314072,.0042518661,.038977139,.031105725,.046848554,.0040161018,.066136554,.062792353,.069480762,.001706258,.027159415,.0043635294,.018607054,.035711776,.99133444,.90019161,1.0824773,.046502315,.78253007,.76014698,.80491316,.011420156,-.20880437,.047884081,-.30265543,-.11495329,.08973565,.0092461258,.071613573,.10785773,.23485571,.0060590464,.2229802,.24673122,0,,
8,3,.23199937,.17955709,.28444162,.02675675,.18568477,.176321,.19504854,.0047775218,.038170364,.029542148,.046798579,.0044022319,.072162621,.068523578,.075801663,.0018566884,.033992257,.0047777547,.02462803,.043356486,.98110449,.87685555,1.0853534,.053189196,.80639136,.78164405,.83113873,.012626427,-.17471313,.054667331,-.28185913,-.067567132,.087878242,.010135098,.068013817,.10774267,.2562547,.0065932358,.24333219,.2691772,.26629096,.019555466,.0054713711
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.32110089,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.35731408,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.40069738,,
