i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,.0013068891,-.0058035115,.0084172897,.003627822,-.0003433385,-.0025776988,.0018910218,.0011400006,.00055539305,-.0024663378,.0035771241,.0015417278,-.00015308234,-.0011493035,.0008431389,.00050828548,-.00070847536,.0016233542,-.003890191,.0024732403,-.76241708,-1.6591653,.13433115,.457533,-.40523946,-.4322139,-.37826505,.013762714,.35717762,.45773995,-.53997618,1.2543315,.0012494901,.0034684869,-.0055486192,.0080475993,-.00035710545,.0011857117,-.0026810577,.0019668469,,,
2,-3,.00046351861,-.0054747975,.0064018345,.0030298086,-.0017995577,-.0036697332,.000070617913,.00095418876,.00019574781,-.002312053,.0027035486,.0012795137,-.00078877487,-.0016085027,.000030952961,.00041823616,-.00098452263,.001346134,-.0036228967,.0016538515,-5.6736608,-9.4954004,-1.8519212,1.949903,-.34936801,-.37217462,-.32656142,.011636234,5.3242927,1.9499377,1.502485,9.1461,.00044038173,.0028785735,-.0052015185,.0060822819,-.0018400282,.00097564765,-.0037522626,.000072206043,,,
3,-2,-.0023234563,-.0069922027,.0023452903,.0023820573,-.0011268295,-.0026102129,.00035655368,.00075684208,-.00099854544,-.0030050199,.001007929,.0010237303,-.00048774222,-.0011298169,.00015433239,.0003275951,.00051080319,.0010748685,-.0015959003,.0026175068,1.66309,.24650268,3.0796773,.72276193,-.22355081,-.24163701,-.20546462,.0092278197,-1.8866408,.72282082,-3.3033435,-.46993801,-.0022464679,.0023031272,-.0067605143,.0022675786,-.0011377891,.00076420314,-.0026355998,.00036002154,,,
4,-1,-5.9418997e-31,-5.9418997e-31,-5.9418997e-31,0,0,0,0,0,-2.6004883e-31,,,,0,0,0,0,2.6004883e-31,,,,0,-7.0223143e-07,7.0223143e-07,3.5828793e-07,0,0,0,0,0,3.5828793e-07,-7.0223143e-07,7.0223143e-07,-5.8504232e-31,,,,0,0,0,0,.089882098,0,0
5,0,.0049764402,.0013867599,.0085661206,.0018315032,.0032731495,.0021268628,.0044194362,.0005848509,.0024973673,.00069592893,.0042988057,.00091911812,.0017755635,.001153745,.0023973819,.00031726016,-.00072180387,.00097233336,-.0026275422,.0011839345,1.2328925,.5680607,1.8977244,.33920616,.71090847,.68956751,.73224944,.010888448,-.52198404,.33938086,-1.1871583,.14319022,.0056184279,.0020677771,.0015656593,.0096711963,.0041419761,.00074009411,.0026914184,.0055925339,.077036455,.000040923813,.000080959639
6,1,.0081121074,.0020590196,.014165196,.0030883669,.0054162992,.0036638535,.0071687447,.0008941213,.0029725172,.0007544859,.0051905485,.0011316694,.0023600052,.0015964246,.0031235856,.00038958905,-.000612512,.0011968522,-.0029582991,.0017332751,19.775902,1.1811442,38.370659,9.4872952,.8552174,.82809782,.88233697,.013836773,-18.920685,9.4873056,-37.515461,-.32590744,.0066873915,.0025459621,.0016973976,.011677385,.005505343,.0009088206,.0037240873,.0072865984,.059954122,.00009289811,.000147377
7,2,.014617224,.0067574726,.022476975,.0040101507,.0083551919,.0061947666,.010515617,.001102278,.0048196525,.0022281022,.0074112029,.0013222438,.0035189432,.0026090401,.0044288463,.0004642448,-.0013007093,.001401375,-.0040473538,.0014459353,-.25063264,-1.6903132,1.1890479,.7345444,.9174751,.88695961,.94799054,.015569399,1.1681077,.73470938,-.27189618,2.6081116,.010842966,.0029747051,.005012651,.01667328,.0082088755,.0010829751,.0060862834,.010331468,0,,
8,3,.021932976,.011127215,.032738734,.0055132438,.010463394,.0077356552,.013191134,.0013917293,.0062328638,.0031621072,.009303621,.0015667415,.0041938783,.0031005614,.0052871951,.00055782497,-.0020389855,.0016630838,-.0052985698,.0012205988,.90043706,-.069237605,1.8701118,.49474108,.92489332,.89094985,.95883679,.017318418,.024456263,.49504411,-.94581234,.99472487,.014022324,.0035247614,.0071139187,.02093073,.0097833415,.0013012758,.0072328877,.012333795,.055240281,.00031840199,.0007032656
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.07186646,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.084291466,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.096037894,,
