i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,-.0043142163,-.010812284,.002183852,.003315402,.018970553,.017155124,.020785982,.0009262563,-.10613934,-.26600632,.053727631,.081566282,.54789174,.49546006,.60032344,.026751352,.6540311,.085841089,.48578566,.82227653,-.052041546,-.084359802,-.019723285,.01648921,-.32894403,-.34044918,-.31743884,.0058700936,-.2769025,.017502915,-.31120759,-.24259742,-.0033682375,.0025884334,-.0084414743,.0017049988,.021844443,.0010665763,.019753993,.023934893,,,
2,-3,-.0070478376,-.01211126,-.0019844153,.0025834262,.014517165,.013156715,.015877616,.00069412013,-.17186776,-.29534379,-.048391726,.062999129,.43525121,.39446241,.47604001,.020810995,.60711896,.06634748,.47708029,.73715764,-.05389297,-.08229278,-.025493164,.014489965,-.30145416,-.31110591,-.29180244,.0049244454,-.24756119,.015303896,-.27755627,-.2175661,-.0054540704,.0019992213,-.0093724718,-.0015356687,.017353464,.00082973432,.015727215,.018979713,,,
3,-2,-.0037885548,-.0076103997,.000033289834,.0019499566,.01012498,.009139251,.01111071,.00050293247,-.088808984,-.17839833,.0007803599,.045709688,.3098872,.27971777,.34005666,.015392856,.39869618,.048231892,.30416343,.49322894,-.052400753,-.074853085,-.029948419,.011455483,-.20891945,-.21637791,-.201461,.0038054045,-.1565187,.012071006,-.18017744,-.13285996,-.0028182741,.0014505562,-.005661312,.000024763858,.012355202,.00061371311,.011152347,.013558057,,,
4,-1,-7.7521978e-32,-3.2628714e-10,3.2628714e-10,1.6647608e-10,0,0,0,0,-2.1625968e-30,-9.1022896e-09,9.1022896e-09,4.6441104e-09,0,0,0,0,2.1625968e-30,4.6441104e-09,-9.1022896e-09,9.1022896e-09,0,0,0,0,0,0,0,0,0,0,0,0,-6.8628087e-32,1.4737671e-10,-2.8885305e-10,2.8885305e-10,0,0,0,0,1.4784632,0,0
5,0,-.0014202909,-.0048790686,.0020384865,.0017647148,-.010903428,-.01186662,-.0099402368,.00049143325,-.047963217,-.16476612,.068839684,.059594411,-.46659803,-.50781655,-.42537951,.021030243,-.41863483,.063196242,-.54249722,-.29477248,.6855436,.65269697,.71839023,.016758792,.5675146,.55484259,.58018667,.0064654439,-.118029,.017962713,-.15323527,-.082822725,-.00152207,.0018911756,-.0052287062,.0021845661,-.018603263,.00083847577,-.020246645,-.016959881,1.0729604,.20290938,.0021440403
6,1,-.00076391204,-.0069429181,.0054150941,.0031526121,-.017925702,-.019551374,-.016300028,.00082944019,-.019974824,-.1815439,.14159425,.082434714,-.62951767,-.68660837,-.57242703,.029128429,-.60954285,.087429672,-.78090185,-.43818384,.8401655,.7964673,.88386369,.022295406,.75166488,.73633105,.76699871,.0078235269,-.088500619,.023628218,-.13481107,-.042190161,-.00063388323,.0026159922,-.005761134,.0044933674,-.025098868,.0011613504,-.027375072,-.022822663,.59942085,.66112566,.00066563184
7,2,.00057866704,-.0080247065,.0091820406,.0043895571,-.02126099,-.023367368,-.019154612,.0010747024,.012857073,-.17829637,.20401052,.097529061,-.67694396,-.74401045,-.60987747,.034218226,-.68980104,.10335766,-.89237833,-.48722374,.89635134,.84321177,.9494909,.027112523,.84402192,.82616264,.86188114,.0091120303,-.052329421,.028602762,-.1083898,.0037309625,.00040800776,.003094998,-.0056580766,.0064740921,-.026989754,.0013642806,-.029663695,-.024315814,0,,
8,3,-.0024087287,-.012402965,.0075855069,.0050991937,-.023956096,-.026537232,-.021374959,.0013169305,-.055140074,-.28392586,.17364572,.11672959,-.75116485,-.83209866,-.67023104,.041293517,-.69602478,.12381822,-.93870401,-.45334554,.89929229,.83889294,.95969164,.030816562,.88303941,.86244345,.90363532,.010508325,-.016252875,.032558952,-.080067247,.047561496,-.0017498211,.0037043095,-.0090101343,.0055104918,-.029948941,.0016463725,-.03317577,-.026722109,.84710121,.66609353,.0035892143
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3680677,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7879937,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2045255,,
