i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,-.056244504,-.082685113,-.029803893,.013490356,-.15768014,-.16811077,-.14724949,.0053218538,-.042787146,-.062901437,-.022672858,.010262582,-.10797711,-.11511987,-.10083436,.0036443283,-.065189973,.010890441,-.086534843,-.043845102,-.081049517,-.1235746,-.038524427,.021696871,-.39991316,-.41363013,-.38619623,.006998573,-.31886363,.022797681,-.36354625,-.27418101,-.06287507,.01508071,-.092432715,-.033317421,-.13815902,.0046629962,-.14729832,-.12901972,,,
2,-3,-.049539398,-.069556989,-.02952181,.010213244,-.12229012,-.13042852,-.11415171,.004152325,-.037790753,-.05306102,-.022520488,.0077910949,-.082193151,-.087663107,-.076723196,.002790845,-.044402398,.0082758674,-.0606228,-.028181996,-.069455065,-.10435576,-.034554362,.017806806,-.35023585,-.36128449,-.33918718,.0056371749,-.28078079,.018677795,-.31738859,-.24417299,-.055532947,.011448897,-.077972375,-.03309352,-.1051679,.0035709457,-.11216682,-.098168969,,,
3,-2,-.033725556,-.047106393,-.020344719,.006827083,-.072174013,-.077681087,-.066666938,.0028097834,-.025326421,-.035374846,-.015277997,.0051268414,-.046596829,-.050152294,-.043041367,.0018140454,-.021270407,.0054383143,-.031929307,-.010611507,-.024730358,-.049122825,-.00033789381,.012445364,-.20978066,-.21746528,-.20209605,.0039207959,-.18505031,.013048361,-.21062462,-.159476,-.037216797,.0075338166,-.051982805,-.022450788,-.05962164,.0023211099,-.064170934,-.055072349,,,
4,-1,3.8460772e-30,3.8460772e-30,3.8460772e-30,0,0,0,0,0,3.2754558e-30,,,,0,0,0,0,-3.2754558e-30,,,,-5.7477583e-31,-2.3389448e-09,2.3389448e-09,1.1933611e-09,0,0,0,0,5.7477583e-31,1.1933611e-09,-2.3389448e-09,2.3389448e-09,4.8132333e-30,,,,0,0,0,0,1.5630903,0,0
5,0,.20207764,.18837205,.21578322,.0069927759,.16822287,.16182713,.1746186,.0032631899,.17888063,.16674834,.1910129,.0061900523,.12725255,.12241448,.13209061,.0024684474,-.051628083,.0066640815,-.064689443,-.038566723,.81638336,.77737236,.85539436,.019903937,.63367385,.62008756,.64726019,.0069319196,-.18270952,.021076486,-.22401866,-.14140037,.26286241,.0090961894,.24503422,.28069061,.16282235,.0031584313,.15663195,.16901276,1.1454668,.014136779,.027934708
6,1,.32280678,.3005695,.34504405,.011345755,.28090176,.27131149,.29049203,.0048930841,.24241374,.22571452,.25911295,.0085201655,.19453175,.18789023,.20117326,.0033885902,-.047881991,.0091692833,-.065853454,-.029910525,1.0230451,.96754909,1.078541,.028314795,.83786315,.82120329,.85452294,.0085000675,-.18518192,.029563133,-.24312459,-.12723924,.35622337,.012520256,.33168411,.38076264,.24890754,.0043357736,.24040958,.25740549,.62183452,.060856391,.094501704
7,2,.38646245,.35651353,.41641137,.015280342,.35761607,.34566578,.36956638,.0060972036,.26754254,.24680932,.28827575,.010578365,.24645671,.23822097,.25469244,.0042019803,-.021085829,.011382374,-.043394871,.0012232146,1.1164168,1.0449859,1.1878479,.036445048,.94595891,.92658734,.96533054,.0098836506,-.1704579,.037761461,-.244469,-.096446797,.39314976,.01554475,.36268261,.42361692,.31534663,.0053765234,.30480883,.32588443,0,,
8,3,.44896895,.41074455,.48719335,.019502603,.42761436,.41308954,.44213921,.0074107652,.29910126,.27363631,.32456619,.012992553,.29874933,.2886017,.30889699,.0051774657,-.00035193563,.013986157,-.0277643,.027060429,1.1820171,1.0940187,1.2700156,.044897992,1.0025595,.98012114,1.0249978,.011448347,-.17945755,.046334591,-.27027169,-.088643417,.43952483,.019092362,.4021045,.47694516,.38225615,.0066246781,.36927202,.39524028,.86662596,.10298695,.10322973
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3893608,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.816992,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2332468,,
