i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,-.087432981,-.12384381,-.051022142,.018577298,-.093760245,-.10596129,-.081559189,.0062251412,-.036275607,-.051382322,-.021168889,.0077076498,-.039165571,-.044262201,-.034068938,.0026003697,-.0028899647,.0081344815,-.018833255,.013053326,-.077488363,-.12351759,-.03145913,.023484731,-.37233183,-.38661546,-.35804817,.0072877062,-.29484347,.024589496,-.34303799,-.24664894,-.086622775,.018405151,-.12269621,-.050549343,-.093378067,.0061997692,-.10552939,-.081226744,,,
2,-3,-.067901902,-.096169524,-.039634284,.01442252,-.07260713,-.082151882,-.063062377,.0048698611,-.027989371,-.039641369,-.01633737,.0059450069,-.029837003,-.033759303,-.025914704,.0020012099,-.0018476322,.0062727942,-.014142083,.010446819,-.065350831,-.10307425,-.02762741,.019246997,-.32702133,-.33866662,-.31537601,.0059415898,-.2616705,.020143222,-.3011505,-.22219051,-.066836014,.014196124,-.09465991,-.039012123,-.071137011,.0047712596,-.08048851,-.061785515,,,
3,-2,-.040381093,-.059300754,-.021461431,.0096530663,-.038622845,-.045045637,-.03220005,.0032769956,-.017027618,-.025005529,-.0090497071,.0040704375,-.015820613,-.018451506,-.013189721,.0013423169,.0012070052,.0042860559,-.00719351,.0096075209,-.018084835,-.045202948,.0090332758,.013836025,-.19821219,-.20655419,-.18987018,.0042562033,-.18012735,.014475872,-.20849954,-.15175517,-.04066037,.0097198263,-.059710879,-.021609861,-.037719309,.0032003352,-.043991853,-.031446766,,,
4,-1,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,-3.0575163e-28,-1.8929649e-09,1.8929649e-09,9.6581620e-10,0,0,0,0,3.0575163e-28,9.6581620e-10,-1.8929649e-09,1.8929649e-09,0,,,,0,0,0,0,1.5015401,0,0
5,0,.17175807,.15254726,.19096889,.0098016169,.10607665,.099030353,.11312295,.0035951156,.086932443,.077209212,.096655667,.0049609216,.05478093,.051142026,.058419835,.0018566181,-.032151513,.0052969591,-.04253336,-.021769663,.74127078,.7005775,.78196412,.020762276,.57507652,.56134874,.58880436,.0070041153,-.16619426,.021911863,-.20914072,-.12324779,.20758659,.011846219,.18436842,.23080476,.13060802,.0044265259,.12193219,.13928385,1.0996867,.0027289139,.0068721841
6,1,.29594454,.26129687,.33059219,.017677702,.18968432,.1782288,.20113985,.0058447649,.10910383,.096330516,.12187714,.006517116,.078943536,.074175932,.08371114,.0024324958,-.030160293,.0069562802,-.043794353,-.016526233,.95364088,.89382917,1.0134525,.030516725,.77676874,.75926006,.79427743,.008933167,-.17687213,.031797357,-.23919381,-.11455046,.26052979,.015562267,.2300283,.29103127,.18821619,.0057995263,.17684934,.19958305,.59740448,.01043193,.019925604
7,2,.38185263,.33408242,.4296228,.024372993,.25873595,.24410841,.2733635,.0074631707,.12511067,.10945918,.14076215,.0079855975,.10392281,.098047577,.10979805,.0029976252,-.021187857,.0085296845,-.03790573,-.0044699823,1.0620383,.98572654,1.1383501,.038935307,.88899857,.86837065,.90962654,.010524656,-.17303973,.040332697,-.25209036,-.093989097,.29875264,.019068865,.26137835,.33612692,.24777149,.007146901,.23376381,.26177916,0,,
8,3,.49220547,.42665297,.55775797,.033445768,.32698777,.3082698,.34570572,.0095501551,.14310652,.12404742,.1621656,.0097242035,.12588385,.1186778,.1330899,.0036766231,-.017222673,.010396042,-.037598539,.0031531949,1.1462754,1.0506879,1.2418629,.048770025,.95940566,.93502045,.98379087,.012441664,-.18686974,.050332002,-.28551865,-.088220827,.34172505,.023220494,.29621372,.38723639,.30013072,.0087657589,.28295016,.31731129,.80739576,.019626983,.025364855
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2974,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7100986,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1022623,,
