i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,.0010497131,-.00048496443,.0025843906,.00078301312,.001138611,.00066695409,.0016102679,.00024064571,.035936482,-.016602552,.088475518,.026806122,.044301827,.025950288,.062653363,.0093632014,.0083653443,.028394325,-.04728651,.064017199,-.10332918,-.13611889,-.070539474,.01672975,-.31637943,-.33000371,-.30275518,.0069512837,-.21305025,.018116426,-.24855779,-.1775427,.00087927224,.00065587607,-.00040622122,.0021647657,.0013286083,.00028080167,.00077824708,.0018789694,,,
2,-3,.00094088702,-.00038950524,.0022712792,.00067878404,.0010079477,.00061640219,.0013994932,.00019977178,.031346515,-.012976724,.075669751,.022614311,.040010706,.024468221,.05555319,.0079299845,.0086641908,.023964385,-.038305141,.055633523,-.12657169,-.15255511,-.10058828,.013257088,-.29079929,-.30166551,-.27993304,.0055441018,-.1642276,.014369671,-.19239165,-.13606356,.00076696766,.00055331335,-.00031750658,.0018514419,.0011999179,.00023781961,.0007338,.0016660357,,,
3,-2,.00061459705,-.00049526227,.0017244564,.0005662652,.00064786733,.00034204524,.00095368945,.00015603456,.018956708,-.015275931,.053189348,.017465953,.025618108,.013525226,.037710991,.0061699511,.0066614002,.01852371,-.029644404,.042967204,-.12864055,-.14823397,-.10904714,.0099968212,-.21574421,-.22396319,-.20752525,.004193427,-.087103665,.010840722,-.10835109,-.065856241,.00046382134,.00042734644,-.0003737623,.001301405,.00076828501,.00018503635,.00040562043,.0011309496,,,
4,-1,8.0722026e-32,-1.0317119e-10,1.0317119e-10,5.2639330e-11,0,0,0,0,2.8239410e-30,-3.6092922e-09,3.6092922e-09,1.8415095e-09,0,0,0,0,-2.8239410e-30,1.8415095e-09,-3.6092922e-09,3.6092922e-09,-6.8811073e-26,-6.8811073e-26,-6.8811073e-26,0,0,0,0,0,6.8811073e-26,0,6.8811073e-26,6.8811073e-26,6.9094494e-32,4.5056948e-11,-8.8309998e-11,8.8309998e-11,0,0,0,0,.32021523,0,0
5,0,.0011646692,.00013618624,.002193152,.00052474579,.000048840418,-.00026460364,.00036228448,.00015992338,.049152866,.0057475069,.092558227,.022146,.0026355153,-.01427848,.019549511,.0086297486,-.04651735,.023768,-.093101777,.000067074805,.69821417,.67117137,.72525692,.013797589,.61574817,.60326284,.62823349,.0063701812,-.082466006,.015197127,-.11225183,-.052680183,.0012026428,.000541855,.00014062652,.0022646592,.000079038895,.00025880549,-.00042821054,.00058628834,.25251999,.000027506498,.0095675755
6,1,.0026129112,.00089564634,.0043301759,.00087617163,.00038874144,-.00010449059,.00088197348,.00025165363,.082722209,.028355287,.13708913,.027738735,.01634633,-.0043937629,.03708642,.010581873,-.066375881,.029688608,-.12456448,-.0081872791,.95725572,.91757703,.99693435,.020244587,.84814304,.83016586,.86612016,.0091721825,-.10911268,.022225486,-.15267383,-.065551527,.0020239973,.00067869469,.00069378008,.0033542144,.00049022515,.00031734954,-.00013176851,.0011122188,.16257338,.0016435809,.042091541
7,2,.0019163834,-.0003336324,.0041663991,.0011479884,.0001169528,-.00049422157,.0007281272,.00031182938,.052808709,-.0091937222,.11481114,.031634476,.0044081705,-.018628139,.02744448,.011753435,-.04840054,.033747345,-.11454412,.017743042,1.0003841,.95019644,1.0505716,.025606368,.9308511,.90935242,.95234978,.010968916,-.06953299,.027856834,-.12413138,-.014934598,.0012920918,.00077401334,-.00022494649,.0028091301,.00013220069,.00035248458,-.00055865641,.00082305778,0,,
8,3,.00015401925,-.0023957347,.0027037731,.0013009188,-.00066506967,-.0013882606,.000058121386,.0003689818,.0042999722,-.066885106,.075485051,.036319584,-.024207663,-.05053087,.0021155423,.013430454,-.028507635,.038723238,-.10440379,.047388516,.98609072,.92767614,1.0445054,.029803919,.95342863,.92910802,.97774923,.012408699,-.032662094,.032283887,-.095937349,.030613163,.00010520913,.00088864577,-.0016365045,.0018469228,-.00072598591,.00040277824,-.0015154168,.000063444932,.21519406,.0027231744,.000085921332
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.3405003,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.41066471,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.4667823,,
