i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,.00079976313,-.0018121911,.0034117175,.0013326543,-.00019486886,-.0010351483,.00064541062,.00042872189,.027571101,-.062473625,.11761583,.045942031,-.007216007,-.038331613,.023899598,.0158756,-.034787107,.048607662,-.13005638,.060482159,-.10763084,-.13081534,-.084446333,.011829047,-.26807475,-.27982798,-.25632155,.0059966492,-.1604439,.013262208,-.18643735,-.13445045,.00070333428,.0011719738,-.0015936921,.0030003607,-.00021145194,.00046520555,-.0011232381,.0007003342,,,
2,-3,.00061166676,-.00162835,.0028516834,.0011428867,-.00024458132,-.00094106299,.00045190039,.00035535434,.020477068,-.054513067,.095467202,.038260978,-.0092336135,-.035527702,.017060475,.013415598,-.02971068,.0405448,-.10917703,.04975567,-.12735625,-.14694017,-.10777233,.0099919802,-.2525979,-.26251873,-.24267706,.0050617438,-.12524165,.011200934,-.14719509,-.10328823,.00052236667,.0009760313,-.0013906196,.0024353529,-.00027057424,.0003931197,-.0010410746,.00049992622,,,
3,-2,.0011237173,-.00058982219,.0028372568,.00087427092,-.00021782036,-.00072961528,.00029397453,.00026112466,.035765626,-.018772835,.090304084,.027826255,-.0082829632,-.027744774,.011178846,.0099296775,-.044048589,.029544864,-.10195546,.01385828,-.12349091,-.13874513,-.10823669,.0077829072,-.19676597,-.20438546,-.18914649,.0038875639,-.073275059,.0086998157,-.090326384,-.056223735,.00091237528,.00070984324,-.00047889189,.0023036425,-.00024271716,.00029097113,-.00081301009,.00032757578,,,
4,-1,-3.0443558e-32,-2.4473612e-10,2.4473612e-10,1.2486766e-10,0,0,0,0,-1.1180224e-30,-8.9877945e-09,8.9877945e-09,4.5856936e-09,0,0,0,0,1.1180224e-30,4.5856936e-09,-8.9877945e-09,8.9877945e-09,-5.7204873e-31,-2.1479627e-09,2.1479627e-09,1.0959195e-09,0,0,0,0,5.7204873e-31,1.0959195e-09,-2.1479627e-09,2.1479627e-09,-2.8520567e-32,1.1698030e-10,-2.2927718e-10,2.2927718e-10,0,0,0,0,.76481038,0,0
5,0,.017890198,.015964933,.019815464,.0009822963,.010197549,.0095796632,.010815436,.00031525397,.7845664,.70013481,.86899805,.043078147,.5320695,.49983054,.56430846,.016448751,-.2524969,.046111692,-.34287414,-.16211964,.63238066,.60848665,.65627468,.012191046,.57970977,.56637484,.59304464,.0068036453,-.052670896,.01396106,-.08003407,-.025307721,.020014161,.0010989165,.017860325,.022167997,.015591328,.0004820007,.014646624,.016536033,.58810663,.48137182,1.0466545
6,1,.021879029,.018750515,.02500754,.0015962094,.012067806,.011128856,.013006757,.00047906523,.70082068,.6006093,.80103201,.051129181,.48557037,.44778997,.52335078,.019276071,-.21525031,.054642107,-.32234687,-.10815375,.89346039,.85810459,.92881614,.018038994,.81001437,.79115063,.82887805,.0096245175,-.083446026,.020445945,-.12351934,-.043372709,.017877821,.001304297,.015321446,.020434195,.014228756,.00056485017,.013121669,.015335842,.35371438,.66657901,1.3885487
7,2,.023641163,.019425744,.027856581,.0021507631,.013098921,.01192365,.014274192,.00059963902,.63686198,.5233041,.75041986,.057938755,.46971998,.42757544,.51186454,.021502718,-.167142,.061800212,-.28826818,-.046015814,.92952693,.88591188,.97314191,.022252968,.87802446,.8559007,.90014815,.011287821,-.051502466,.024952143,-.10040777,-.0025971637,.016246246,.0014780082,.013349404,.01914309,.013764289,.00063009799,.01252932,.014999258,0,,
8,3,.018802475,.014088838,.023516113,.0024049613,.012541324,.011155431,.013927217,.00070710114,.52053922,.39004403,.65103447,.066580415,.43711787,.38881367,.48542207,.024645453,-.08342135,.07099542,-.22256982,.055727117,.93933707,.88812059,.99055362,.026131354,.91089684,.88521826,.93657541,.013101554,-.028440237,.029231805,-.085733525,.02885305,.013278871,.0016984555,.0099499589,.016607782,.012808943,.00072219013,.011393476,.01422441,.56195152,.34001517,.48217875
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.89569354,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0622793,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2707013,,
