i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,-.2395044,-.26881805,-.21019073,.014956225,-.33833462,-.34984487,-.32682437,.0058726859,-.19451633,-.21832377,-.17070889,.012146874,-.25375739,-.26239029,-.24512449,.0044046207,-.059241056,.012920806,-.084565371,-.033916742,-.2395044,-.26881805,-.21019073,.014956225,-.33833462,-.34984487,-.32682437,.0058726859,-.098830223,.01606789,-.13032271,-.067337736,-.26313609,.016431943,-.29534212,-.23093008,-.30357933,.0052694106,-.31390718,-.29325148,,,
2,-3,-.21293975,-.23592025,-.18995927,.011724954,-.27801499,-.28733295,-.26869699,.0047541582,-.17462054,-.19346562,-.15577547,.0096150106,-.2039391,-.21077433,-.19710384,.0034874338,-.029318556,.010227934,-.049364939,-.0092721749,-.21293975,-.23592025,-.18995927,.011724954,-.27801499,-.28733295,-.26869699,.0047541582,-.065075234,.012652137,-.089872964,-.0402775,-.23622164,.01300691,-.26171473,-.21072857,-.24397987,.0041721459,-.25215712,-.23580262,,,
3,-2,-.1343132,-.14988348,-.11874292,.0079441657,-.17544922,-.18179305,-.16910541,.0032367019,-.10841563,-.12098373,-.095847525,.0064124144,-.12296079,-.12740676,-.11851482,.0022683938,-.014545165,.0068018134,-.027876474,-.0012138558,-.1343132,-.14988348,-.11874292,.0079441657,-.17544922,-.18179305,-.16910541,.0032367019,-.041136026,.0085782288,-.057949048,-.024323007,-.14666153,.0086745294,-.1636633,-.12965977,-.14710253,.0027137632,-.15242141,-.14178365,,,
4,-1,-1.0623764e-29,-1.5352003e-09,1.5352003e-09,7.8327983e-10,0,0,0,0,-9.6054327e-30,-1.3880450e-09,1.3880450e-09,7.0819922e-10,0,0,0,0,9.6054327e-30,7.0819922e-10,-1.3880450e-09,1.3880450e-09,1.0950079e-29,-1.4970625e-09,1.4970625e-09,7.6382140e-10,0,0,0,0,-1.0950079e-29,7.6382140e-10,-1.4970625e-09,1.4970625e-09,-1.2993953e-29,9.5803154e-10,-1.8777073e-09,1.8777073e-09,0,0,0,0,.9506852,0,0
5,0,.62036967,.5970524,.64368695,.011896789,.49806589,.48761201,.50851977,.00533371,.57667327,.55499834,.5983482,.011058842,.40615791,.39763308,.41468272,.0043494781,-.17051536,.011883431,-.19380645,-.14722426,.62036967,.5970524,.64368695,.011896789,.49806589,.48761201,.50851977,.00533371,-.12230378,.013037717,-.14785723,-.096750326,.78010702,.014960083,.75078577,.80942827,.48590171,.0052034413,.47570315,.49610028,.73861885,.22334151,.45023501
6,1,.8561393,.82238543,.88989311,.017221665,.6743412,.66009897,.68858343,.0072665783,.67491925,.64831012,.70152843,.013576347,.496391,.48590711,.50687486,.0053490144,-.17852825,.014592092,-.20712823,-.14992827,.8561393,.82238543,.88989311,.017221665,.6743412,.66009897,.68858343,.0072665783,-.1817981,.018691948,-.21843365,-.14516255,.91301137,.018365692,.87701529,.94900745,.59385091,.0063992236,.58130866,.60639316,.41786963,.5896672,1.0900912
7,2,.87069988,.82909292,.91230679,.021228418,.72523785,.70881152,.74166417,.0083809318,.64156991,.61091208,.67222774,.015642036,.53040677,.51839328,.54242027,.0061294469,-.11116314,.016800102,-.14409073,-.078235544,.87069988,.82909292,.91230679,.021228418,.72523785,.70881152,.74166417,.0083809318,-.14546204,.022822922,-.19019414,-.10072993,.86789733,.021160096,.8264243,.90937036,.63454521,.0073328838,.62017304,.64891738,0,,
8,3,.91099221,.86040056,.96158385,.02581254,.77298343,.75389701,.79206979,.0097381333,.64149243,.60586739,.67711753,.01817639,.56885076,.5548048,.58289677,.0071664499,-.072641671,.019538146,-.11093573,-.034347609,.91099221,.86040056,.96158385,.02581254,.77298343,.75389701,.79206979,.0097381333,-.13800877,.027588375,-.19208099,-.08393655,.86779249,.024588497,.81959993,.91598505,.68053716,.0085734893,.66373342,.69734091,.67377782,.48026392,.61075407
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0471573,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2462293,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4251943,,
