i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,-.1270735,-.15692739,-.097219594,.015231861,-.15812106,-.16790897,-.14833316,.0049939193,-.05400243,-.066689439,-.041315418,.0064730835,-.070501581,-.074865721,-.066137441,.002226643,-.016499151,.0068453453,-.02991578,-.0030825203,-.16072695,-.18686873,-.13458517,.013337887,-.29143178,-.3038736,-.27898997,.0063479808,-.13070484,.014771461,-.15965636,-.1017533,-.12148912,.014562477,-.15003105,-.092947185,-.16439018,.0051919152,-.17456615,-.1542142,,,
2,-3,-.095577627,-.12006357,-.071091697,.012493053,-.12506488,-.13324301,-.11688673,.0041725957,-.040378261,-.050722726,-.030033797,.0052778851,-.054818936,-.058403611,-.05123426,.0018289497,-.014440674,.0055857971,-.025388636,-.0034927132,-.15992475,-.18187745,-.13797204,.011200565,-.26417446,-.27482074,-.25352818,.005431877,-.10424972,.01244821,-.12864776,-.079851672,-.090838864,.011873643,-.11411078,-.067566954,-.12782259,.0042646043,-.13618106,-.11946412,,,
3,-2,-.04559337,-.061680235,-.029506503,.0082077356,-.071788669,-.077182621,-.066394717,.0027520671,-.019600451,-.026516145,-.012684756,.0035284804,-.031073816,-.033408593,-.028739037,.0011912353,-.011473365,.0037241396,-.018772544,-.0041741855,-.10471258,-.12006252,-.089362651,.0078317439,-.17192774,-.17924672,-.16460873,.0037342501,-.067215152,.0086764526,-.084220685,-.050209619,-.04409508,.0079380125,-.059653297,-.028536862,-.07245554,.0027776309,-.077899598,-.067011483,,,
4,-1,-2.1887746e-30,-1.4528423e-10,1.4528423e-10,7.4125969e-11,0,0,0,0,-9.5898277e-31,-6.3654373e-11,6.3654373e-11,3.2477319e-11,0,0,0,0,9.5898277e-31,3.2477319e-11,-6.3654373e-11,6.3654373e-11,8.6674491e-30,-2.6935352e-09,2.6935352e-09,1.3742779e-09,0,0,0,0,-8.6674491e-30,1.3742779e-09,-2.6935352e-09,2.6935352e-09,-2.1574209e-30,7.3064131e-11,-1.4320306e-10,1.4320306e-10,0,0,0,0,.66590059,0,0
5,0,.37581554,.35448441,.39714667,.01088343,.26057941,.25323635,.26792246,.0037465249,.18876074,.17804675,.19947472,.0054664202,.14135879,.13737534,.14534223,.0020324076,-.04740195,.0058320179,-.058832496,-.035971403,.58063364,.55836684,.60290045,.011360823,.5050258,.4938986,.51615304,.0056772567,-.075607836,.012700376,-.10050011,-.050715558,.42465451,.01229779,.40055129,.44875774,.32960957,.0047390121,.32032129,.33889785,.5057137,.039513085,.070456102
6,1,.54571319,.50951409,.58191228,.018469265,.35680702,.34541133,.36820269,.0058142282,.20029265,.18700652,.21357878,.0067787617,.15547283,.15050735,.16043831,.0025334568,-.044819817,.0072367131,-.059003513,-.030636121,.82002354,.78506076,.85498625,.017838461,.72024655,.70292407,.73756903,.0088381628,-.099776983,.019907884,-.13879572,-.060758248,.45059779,.015250161,.42070803,.48048756,.36251962,.00590732,.35094148,.37409776,.28129503,.085930422,.1426159
7,2,.61089337,.56394517,.6578415,.023953585,.4117035,.39785081,.42555618,.0070678266,.20189412,.18637821,.21741001,.0079164216,.17340198,.16756748,.17923649,.0029768429,-.028492138,.0084576197,-.045068767,-.011915508,.87105799,.82801336,.91410261,.021961948,.810036,.78939313,.83067888,.010532273,-.061021984,.024356846,-.10876052,-.013283443,.45420063,.017809551,.41929454,.48910671,.40432543,.0069411737,.39072096,.41792989,0,,
8,3,.68233538,.61934847,.74532223,.032136753,.4669064,.45011172,.48370108,.0085688727,.19457999,.17661817,.2125418,.0091643594,.18714885,.18041709,.19388063,.0034346401,-.0074311346,.0097868396,-.026612988,.011750719,.93769121,.88261795,.99276453,.028099135,.89009541,.86487144,.91531938,.01286961,-.047595799,.030906118,-.10817068,.01297908,.43774605,.020617034,.39733741,.47815469,.43637934,.00800863,.42068273,.45207596,.42874488,.08169122,.088307463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.66242003,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.83169144,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.96975791,,
