i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,-.038389239,-.058459166,-.018319311,.010239948,-.068503506,-.076519899,-.060487121,.0040900693,-.025048338,-.038143631,-.011953045,.0066813948,-.039656959,-.044297677,-.035016239,.0023677573,-.014608622,.0070885336,-.028501892,-.00071535102,-.13942388,-.1946554,-.084192336,.028179873,-.28102136,-.30444336,-.25759935,.011950221,-.14159748,.030609034,-.20159009,-.081604876,-.04246724,.011327714,-.064669155,-.02026533,-.058011465,.0034636308,-.064800054,-.051222872,,,
2,-3,-.021869166,-.038010944,-.0057273866,.0082357526,-.051044956,-.057644621,-.044445291,.0033672377,-.014443091,-.025103634,-.0037825478,.0054391525,-.029382018,-.033180855,-.025583182,.0019382177,-.014938927,.0057741725,-.026256097,-.003621757,-.10274034,-.14484793,-.060632747,.021483859,-.23797269,-.25544348,-.22050188,.0089138374,-.13523236,.023259679,-.18082049,-.089644223,-.024486983,.0092216013,-.042560991,-.0064129769,-.042980954,.0028352865,-.048538014,-.037423894,,,
3,-2,-.013396461,-.025509777,-.0012831469,.0061803763,-.030261723,-.035248805,-.025274644,.0025444757,-.0088153239,-.016786294,-.00084435398,.0040668962,-.017077129,-.019891411,-.014262847,.0014358846,-.0082618054,.0043129353,-.016715003,.00019139242,-.078217581,-.11240026,-.044034895,.017440466,-.1618508,-.17537288,-.14832872,.0068991478,-.083633214,.018755483,-.12039328,-.046873145,-.014945601,.0068950625,-.028459676,-.001431527,-.02498097,.0021004577,-.029097792,-.020864148,,,
4,-1,-1.7206593e-30,-1.1761467e-09,1.1761467e-09,6.0008587e-10,0,0,0,0,-1.3136776e-30,-8.9795676e-10,8.9795676e-10,4.5814963e-10,0,0,0,0,1.3136776e-30,4.5814963e-10,-8.9795676e-10,8.9795676e-10,-6.6684133e-29,-6.6684133e-29,-6.6684133e-29,0,0,0,0,0,6.6684133e-29,0,6.6684133e-29,6.6684133e-29,-2.2272240e-30,7.7675216e-10,-1.5224063e-09,1.5224063e-09,0,0,0,0,.34666544,0,0
5,0,.14901842,.13516393,.16287293,.0070687504,.11770475,.11139788,.12401162,.0032178508,.11453013,.10388207,.12517819,.0054327818,.076386765,.072293803,.080479734,.002088286,-.038143367,.0058203139,-.049550973,-.02673576,.88498181,.83078885,.93917483,.027649993,.7239266,.70190918,.74594402,.011233584,-.16105521,.029844858,-.21955006,-.10256036,.19417571,.0092108008,.17612287,.21222854,.11174099,.0030548114,.10575367,.11772832,.28226981,.020671491,.046470258
6,1,.24379331,.22210559,.26548102,.011065365,.1715582,.16313909,.17997731,.0042955438,.14462604,.13176018,.15749189,.0065643331,.09961012,.094721816,.10449842,.0024940784,-.045015916,.0070221717,-.05877912,-.031252712,1.1216651,1.0399687,1.2033615,.041682597,.85622281,.82713717,.88530844,.014839883,-.26544231,.044245463,-.35216182,-.1787228,.24520065,.011129246,.22338773,.26701358,.14571285,.0036484173,.13856208,.15286362,.20229653,.049047682,.10339619
7,2,.26080912,.23340619,.28821206,.013981347,.18919934,.17982827,.19857042,.0047812471,.13662972,.12227418,.15098526,.0073243896,.10892855,.10353331,.1143238,.0027527283,-.027701162,.0078245895,-.043037076,-.012365248,1.0862381,.98683888,1.1856374,.050714828,.86526734,.83308971,.89744502,.016417474,-.22097081,.053305976,-.3254486,-.11649302,.23164359,.012417854,.20730504,.25598213,.15934417,.0040267785,.15145183,.16723651,0,,
8,3,.26424047,.23159407,.29688686,.01665663,.20684308,.19623196,.21745418,.0054139309,.13610943,.11929337,.15292548,.0085797766,.12243734,.11615626,.12871841,.0032046887,-.013672091,.0091587445,-.031622902,.004278718,1.0641685,.95394671,1.1743903,.056236647,.87002951,.83448899,.90556997,.018133236,-.19413894,.059087858,-.30994901,-.07832887,.23076148,.014546252,.20225136,.25927162,.17910524,.0046879207,.16991708,.1882934,.30135807,.049744483,.061474297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.37562811,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.41200021,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.4612371,,
