i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,-.051397923,-.080602854,-.022192996,.014900748,-.056684371,-.066749565,-.046619181,.0051353965,-.019274374,-.030226311,-.0083224392,.0055878251,-.020203974,-.023791503,-.016616443,.0018304061,-.00092959963,.005879981,-.01245415,.010594951,-.095665589,-.15590008,-.035431106,.030732445,-.24571413,-.26935333,-.22207494,.012061035,-.15004854,.033014417,-.21475561,-.085341468,-.052293617,.015160419,-.08200749,-.022579743,-.052343663,.0047421441,-.061638094,-.043049231,,,
2,-3,-.020364972,-.044193473,.0034635284,.012157622,-.039264672,-.04757503,-.030954311,.0042400574,-.0075657209,-.016418165,.0012867234,.004516636,-.013893035,-.016833493,-.010952577,.0015002614,-.0063273143,.0047592842,-.015655341,.0030007113,-.083470941,-.13024236,-.036699519,.023863409,-.21515843,-.2335926,-.19672425,.0094053643,-.13168749,.025650013,-.1819606,-.081414387,-.020526679,.012254158,-.044544388,.0034910291,-.035993528,.0038868182,-.043611553,-.028375505,,,
3,-2,-.019637521,-.037454057,-.0018209822,.0090902373,-.025930237,-.032212265,-.019648211,.0032051746,-.0076791705,-.014646254,-.00071208749,.0035546995,-.0094127199,-.011693106,-.0071323337,.0011634837,-.0017335494,.003740265,-.0090643344,.0055972352,-.065433964,-.10330488,-.027563047,.01932225,-.14522722,-.15932956,-.13112487,.0071952073,-.07979326,.020618446,-.12020467,-.039381847,-.020834481,.0096443128,-.039736986,-.0019319756,-.024386104,.0030143079,-.030294038,-.01847817,,,
4,-1,-9.8838226e-31,-9.8838226e-31,-9.8838226e-31,0,0,0,0,0,-4.0167136e-31,,,,0,0,0,0,4.0167136e-31,,,,-8.4023290e-30,-8.4023290e-30,-8.4023290e-30,0,0,0,0,0,8.4023290e-30,0,8.4023290e-30,8.4023290e-30,-1.0897811e-30,,,,0,0,0,0,.32160893,0,0
5,0,.10515499,.085637785,.1246722,.0099579412,.097639494,.090560779,.1047182,.0036116536,.048984677,.039892916,.058076438,.0046387389,.044702739,.041461863,.047943618,.0016535395,-.0042819381,.0049246415,-.013934058,.005370182,.81274366,.7548098,.87067759,.029558653,.64481819,.62282264,.66681373,.011222423,-.16792548,.031617347,-.22989434,-.10595661,.13290112,.012585438,.10823411,.15756813,.1158141,.0042839251,.10741775,.12421044,.26043195,.0076731555,.0092135342
6,1,.18019612,.14406244,.2163298,.018435888,.13934119,.12857881,.15010357,.0054911105,.053615902,.042864617,.064367183,.005485449,.049190048,.045390729,.052989371,.0019384648,-.0044258535,.005817886,-.015828701,.0069769933,1.0268469,.93558979,1.1181039,.046560567,.76733863,.73749232,.79718494,.015227989,-.25950825,.04898753,-.35552204,-.16349445,.14546618,.01488266,.1162967,.17463566,.12743965,.0050220983,.11759651,.13728277,.18409038,.013143875,.015615509
7,2,.21173871,.16390291,.25957447,.024406459,.16334479,.15084665,.17584293,.0063767196,.053434663,.041362759,.065506563,.0061592469,.055399816,.051160961,.059638668,.0021627201,.001965154,.0065279156,-.010829326,.014759634,.98575771,.87830698,1.0932086,.054822836,.78436834,.7508536,.81788301,.017099654,-.20138937,.057427708,-.31394562,-.088833131,.14497446,.016710753,.11222198,.17772692,.14352767,.0056030899,.13254581,.15450953,0,,
8,3,.22452827,.16433848,.28471804,.030709634,.18283126,.1684259,.19723661,.0073498059,.050251022,.036780123,.063721918,.006873033,.060568888,.055796638,.065341137,.002434866,.010317866,.007291581,-.0039733704,.024609102,.99160177,.87118131,1.1120223,.061440151,.8104102,.77352083,.84729952,.018821441,-.18119156,.064258374,-.30713567,-.055247463,.13633686,.018647337,.099788755,.17288497,.15691949,.0063081551,.14455573,.16928326,.26815069,.013681076,.009416963
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.33441335,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.37481406,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.42042238,,
