i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,.092932463,-.10499549,.29086041,.1009855,-.23810807,-.26365688,-.21255927,.013035346,.96046013,-1.0851319,3.006052,1.0436885,-6.1000628,-6.7545948,-5.4455309,.33395103,-7.060523,1.0958143,-9.2082796,-4.9127665,.092932463,-.10499549,.29086041,.1009855,-.23810807,-.26365688,-.21255927,.013035346,-.33104053,.10182334,-.53061062,-.13147046,.034251269,.037219301,-.03869722,.10719976,-.4733789,.025915368,-.52417207,-.4225857,,,
2,-3,-.013817915,-.1769795,.14934367,.083247237,-.21564277,-.23769702,-.19358851,.011252378,-.15643279,-2.0035872,1.6907216,.94244307,-5.7658968,-6.355588,-5.1762061,.30086824,-5.6094642,.98930311,-7.5484629,-3.6704657,-.013817915,-.1769795,.14934367,.083247237,-.21564277,-.23769702,-.19358851,.011252378,-.20182484,.084004276,-.36647019,-.037179489,-.0055785985,.033608757,-.071450554,.060293354,-.44744685,.023348067,-.49320823,-.40168548,,,
3,-2,-.016416041,-.14316283,.11033075,.064667918,-.16057403,-.18018393,-.14096415,.01000523,-.21522735,-1.8769785,1.4465238,.84784782,-4.4985876,-5.0479717,-3.9492037,.28030312,-4.2833605,.89298141,-6.0335717,-2.533149,-.016416041,-.14316283,.11033075,.064667918,-.16057403,-.18018393,-.14096415,.01000523,-.14415799,.065437332,-.27241281,-.015903177,-.0076752896,.030235365,-.066935517,.051584937,-.34910074,.021752167,-.39173421,-.30646726,,,
4,-1,8.1648378e-30,8.1648378e-30,8.1648378e-30,0,0,0,0,0,1.3698984e-28,,,,0,0,0,0,-1.3698984e-28,,,,1.6495086e-28,1.6495086e-28,1.6495086e-28,0,0,0,0,0,-1.6495086e-28,0,-1.6495086e-28,-1.6495086e-28,4.8852375e-30,,,,0,0,0,0,77.301399,0,0
5,0,.85823387,.69883204,1.0176357,.081328958,.61276501,.58708322,.63844681,.013103196,15.132772,12.322126,17.943419,1.4340295,22.700449,21.749043,23.651855,.48542038,7.5676765,1.5139595,4.6003704,10.534983,.85823387,.69883204,1.0176357,.081328958,.61276501,.58708322,.63844681,.013103196,-.24546885,.082377747,-.40692627,-.084011436,.53965449,.05113937,.43942317,.63988584,1.7616071,.037669737,1.6877757,1.8354384,71.298485,7.2275081,3.2118607
6,1,.84187222,.60846657,1.0752779,.11908672,.70135319,.66876775,.73393863,.016625531,10.426125,7.5355239,13.316725,1.4748232,20.802004,19.835526,21.768482,.49311027,10.375879,1.555076,7.3279862,13.423772,.84187222,.60846657,1.0752779,.11908672,.70135319,.66876775,.73393863,.016625531,-.14051902,.12024166,-.37618834,.095150292,.37180927,.052594133,.26872668,.47489187,1.6142833,.038266491,1.5392823,1.6892843,57.736858,7.494751,1.88275
7,2,.76327747,.53993738,.98661751,.11395111,.73734468,.70174426,.77294511,.018163815,10.132159,7.1674223,13.096896,1.5126487,20.52713,19.536039,21.518219,.50566739,10.394971,1.5949312,7.2689629,13.520979,.76327747,.53993738,.98661751,.11395111,.73734468,.70174426,.77294511,.018163815,-.025932789,.11538968,-.25209242,.20022683,.3613261,.053943038,.25559968,.46705252,1.5929525,.039240953,1.5160416,1.6698633,0,,
8,3,.67848366,.45679411,.90017325,.113109,.75615537,.71498871,.79732209,.021003801,10.127817,6.8186274,13.437008,1.6883934,20.369907,19.260927,21.478889,.56581712,10.24209,1.7806799,6.7520218,13.732159,.67848366,.45679411,.90017325,.113109,.75615537,.71498871,.79732209,.021003801,.077671707,.11504263,-.1478077,.3031511,.36117125,.060210321,.24316119,.47918132,1.5807517,.043908708,1.4946922,1.6668111,73.69548,5.630374,1.3918449
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.196457,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.110184,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.966339,,
