i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,-.14223234,-.40886852,.12440383,.13604137,-.26675472,-.3327314,-.20077805,.033662185,-.058288228,-.16755839,.050981928,.055751104,-.14670211,-.18298607,-.11041816,.018512562,-.088413879,.058744367,-.20355073,.026722964,.034596823,-.1225048,.19169845,.080155365,-.2692591,-.30594262,-.23257555,.018716434,-.30385593,.082311526,-.46518356,-.1425283,-.10499475,.10042462,-.30182341,.091833897,-.33779979,.042627469,-.42134809,-.25425148,,,
2,-3,-.41062447,-.63888395,-.18236502,.11646105,-.28095031,-.34250963,-.21939102,.031408384,-.17341478,-.26981324,-.077016324,.04918379,-.15544674,-.18950683,-.12138665,.017377917,.017968044,.05216356,-.084270656,.12020674,-.12965813,-.24998927,-.0093270056,.061394565,-.26781461,-.29784673,-.23778248,.015322796,-.13815647,.063277803,-.26217869,-.014134258,-.31237254,.088594906,-.48601535,-.13872971,-.35793537,.040014807,-.43636295,-.27950779,,,
3,-2,-.34429425,-.53688186,-.15170665,.09826079,-.2270412,-.2797457,-.17433672,.02689054,-.14764482,-.23023278,-.065056846,.042137492,-.12635624,-.15568809,-.097024374,.014965509,.021288574,.044716157,-.066353485,.10893063,-.13718367,-.22416738,-.050199948,.044380262,-.19456896,-.2196907,-.16944723,.012817446,-.057385296,.046194099,-.14792407,.033153474,-.26595303,.075902387,-.41471899,-.11718709,-.29095089,.034459937,-.35849112,-.22341065,,,
4,-1,7.7807883e-29,7.7807883e-29,7.7807883e-29,0,0,0,0,0,3.7051013e-29,,,,0,0,0,0,-3.7051013e-29,,,,1.0601004e-30,-2.7242346e-09,2.7242346e-09,1.3899412e-09,0,0,0,0,-1.0601004e-30,1.3899412e-09,-2.7242346e-09,2.7242346e-09,6.6740099e-29,,,,0,0,0,0,65.119232,0,0
5,0,.84966135,.67649531,1.0228274,.088351645,.59279466,.53628981,.64929956,.028829549,.4377861,.34856269,.52700949,.04552298,.35234782,.31876221,.3859334,.017135821,-.085438281,.04864132,-.18077351,.0098969545,.84294939,.74398404,.94191468,.050493438,.76937646,.73566192,.80309099,.017201608,-.073572934,.053343065,-.17812341,.030977553,.78858536,.08200068,.62786698,.94930375,.81132448,.039457351,.73398948,.88865948,59.454182,.0020881456,.0032236029
6,1,.87311369,.65954214,1.0866853,.1089671,.53894353,.4743689,.60351813,.032946836,.39576268,.29895553,.49256986,.04939232,.30457282,.26807982,.34106582,.018619221,-.091189861,.052785195,-.19464694,.012267221,1.0139505,.86028755,1.1676133,.078400858,.90543741,.86225855,.94861627,.022030434,-.10851306,.081437305,-.26812723,.051101126,.71288848,.088970527,.53850943,.88726753,.70131665,.042873062,.61728698,.78534633,49.641499,.0018686906,.0031551847
7,2,.5364055,.29258719,.78022379,.12439938,.40204382,.33580852,.46827915,.03379415,.22260424,.12142149,.323787,.051624805,.22437914,.18741345,.26134482,.018860389,.0017748922,.054962121,-.10594889,.10949867,1.0217068,.83155441,1.2118592,.097018316,.95005208,.9027651,.99733913,.024126472,-.071654737,.099973202,-.2675986,.12428914,.40097767,.092991911,.21871687,.58323848,.51666075,.04342838,.43154269,.60177881,0,,
8,3,.38060507,.081391074,.67981905,.15266301,.28524068,.2117926,.35868877,.0374742,.14257532,.030489238,.25466141,.057187829,.15727767,.11677945,.19777592,.020662744,.01470235,.060806222,-.10447565,.13388036,.9848237,.76256174,1.2070857,.11340106,.96055454,.90516919,1.01594,.028258367,-.024269164,.11686888,-.25332797,.20478964,.25682133,.10301261,.054920334,.45872232,.36215132,.047578529,.26889911,.45540354,60.953171,.0004058241,.00033349739
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.347145,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.04483,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.305428,,
