i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,-.05235428,-.47697911,.37227052,.21664929,-.48103148,-.56658047,-.39548245,.043648258,-.010468695,-.095376134,.074438743,.043320917,-.15558451,-.18325444,-.12791459,.014117566,-.14511582,.045563225,-.23441811,-.055813543,-.0152664,-.17382999,.14329718,.080901273,-.2665377,-.30319235,-.22988307,.018701689,-.25127131,.083034746,-.41401643,-.088526197,-.031413812,.12999472,-.28619879,.22337116,-.72398937,.065693989,-.8527472,-.59523153,,,
2,-3,-.24979207,-.60238242,.10279831,.17989635,-.4379341,-.51312542,-.36274275,.038363632,-.05354948,-.12913647,.022037514,.038565502,-.14518024,-.17010704,-.12025344,.012717987,-.091630757,.040608436,-.17122182,-.012039685,-.15274058,-.28017706,-.025304109,.065019801,-.27263892,-.30414149,-.24113636,.016073033,-.11989833,.066976987,-.25117081,.011374148,-.16068797,.11572497,-.38750473,.066128798,-.67557466,.059181262,-.7915678,-.55958152,,,
3,-2,-.38175386,-.72060513,-.042902589,.17288648,-.37001047,-.44526252,-.29475841,.038394611,-.080874562,-.15266022,-.0090889139,.036626007,-.12377632,-.14894971,-.098602913,.012843807,-.042901754,.038812727,-.1189733,.033169791,-.14389294,-.23657931,-.051206574,.047289833,-.1997215,-.22622643,-.17321655,.013523178,-.055828556,.04918541,-.15223019,.040573075,-.24268338,.10990506,-.45809335,-.027273428,-.57597464,.059766747,-.69311529,-.45883396,,,
4,-1,-2.1611852e-28,-2.1611852e-28,-2.1611852e-28,0,0,0,0,0,-5.0444348e-29,,,,0,0,0,0,5.0444348e-29,,,,-1.5044466e-28,-7.2061814e-09,7.2061814e-09,3.6766907e-09,0,0,0,0,1.5044466e-28,3.6766907e-09,-7.2061814e-09,7.2061814e-09,-1.5137028e-28,,,,0,0,0,0,63.457169,0,0
5,0,2.6146233,2.3039861,2.9252608,.15849136,1.5450556,1.4658744,1.6242369,.040399343,.73010784,.64336544,.81685024,.044257142,.61950052,.58775228,.65124881,.016198393,-.11060733,.047128361,-.20297721,-.018237436,.82829016,.72522968,.93135065,.052582845,.73239112,.6974597,.76732254,.017822482,-.095899045,.055521134,-.20471847,.012920378,2.1908624,.1328041,1.9305712,2.4511538,2.8827534,.075376809,2.7350175,3.0304892,57.523987,.0066716671,.0092666987
6,1,2.7925124,2.3281162,3.2569089,.23694128,1.5246875,1.4255632,1.623812,.05057459,.54200339,.45186794,.63213885,.045988321,.50554216,.47267538,.53840894,.016769072,-.036461234,.048950255,-.13240197,.059479501,.98021036,.80917174,1.1512491,.087266222,.8701027,.82425731,.91594815,.023390951,-.11010766,.090346724,-.28718397,.066968665,1.6264102,.13799891,1.3559374,1.8968831,2.3524652,.078032382,2.1995244,2.5054059,46.896992,.0054496648,.006264105
7,2,2.3645873,1.8662529,2.8629217,.25425693,1.421095,1.3228281,1.5193621,.050137155,.41341531,.32628846,.50054216,.044453293,.45322114,.42188144,.48456085,.015989939,.03980583,.047241651,-.052786104,.13239776,1.0300045,.82384473,1.2361642,.10518547,.92917752,.87826198,.98009312,.025977809,-.10082698,.10834588,-.31318101,.11152705,1.2405511,.13339269,.97910625,1.501996,2.1089971,.074406803,1.9631624,2.2548318,0,,
8,3,2.3560851,1.6963893,3.0157807,.33658561,1.3436998,1.2263428,1.4610567,.059877098,.35951743,.25885379,.46018106,.05135994,.4105421,.37468588,.44639829,.018294318,.051024675,.054520871,-.055834271,.15788361,1.0090137,.77219808,1.2458292,.12082649,.95657933,.89619893,1.0169597,.030806877,-.052434325,.12469204,-.29682621,.19195758,1.0788176,.15411773,.77675241,1.3808829,1.9103966,.085129887,1.7435451,2.0772481,57.296623,.0029416187,.0022558533
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.552948,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.147079,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.2808,,
