i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,-.064101331,-.089965664,-.038236994,.013196331,-.12847085,-.13365519,-.12328653,.0026451149,-.022114841,-.03103799,-.013191693,.0045527103,-.072729699,-.075664647,-.069794759,.0014974478,-.050614856,.004792653,-.060008284,-.041221429,-.16725068,-.23278813,-.10171323,.03343809,-.45339149,-.46916503,-.43761799,.008047862,-.2861408,.034392934,-.35354972,-.21873188,-.039616261,.00815567,-.055601079,-.02363144,-.18731809,.0038567334,-.19487715,-.17975903,,,
2,-3,-.062545314,-.081470937,-.043619689,.009656108,-.099457793,-.10356519,-.0953504,.0020956493,-.022814788,-.029718328,-.015911248,.0035222792,-.054897524,-.05716468,-.052630372,.0011567324,-.032082736,.0037073549,-.03934902,-.024816455,-.17349628,-.22392723,-.12306532,.02573055,-.38667721,-.39942619,-.37392819,.0065047122,-.21318093,.026540017,-.26519841,-.16116345,-.040870134,.0063097687,-.053237054,-.028503215,-.14139065,.002979208,-.14722979,-.13555151,,,
3,-2,-.041780867,-.05533151,-.028230228,.0069137192,-.059149276,-.062130563,-.05616799,.0015210925,-.015288741,-.020247284,-.010330198,.0025299154,-.031553593,-.033143982,-.029963206,.00081143732,-.016264852,.0026568596,-.021472201,-.011057503,-.11419308,-.15042655,-.077959612,.018486803,-.23832566,-.24761248,-.22903883,.004738261,-.12413257,.019084366,-.16153724,-.086727902,-.027388066,.0045320601,-.036270741,-.018505391,-.081267469,.0020898874,-.085363574,-.077171363,,,
4,-1,2.7977364e-29,-1.5597004e-09,1.5597004e-09,7.9578011e-10,0,0,0,0,1.3355737e-29,-7.4456441e-10,7.4456441e-10,3.7988679e-10,0,0,0,0,-1.3355737e-29,3.7988679e-10,-7.4456441e-10,7.4456441e-10,-4.9050937e-28,-4.9050937e-28,-4.9050937e-28,0,0,0,0,0,4.9050937e-28,0,4.9050937e-28,4.9050937e-28,2.3925307e-29,6.8052458e-10,-1.3338036e-09,1.3338036e-09,0,0,0,0,.30131865,0,0
5,0,.20760974,.19453256,.22068693,.0066721556,.11860178,.11507721,.12212636,.0017982858,.091565683,.085798033,.097333342,.0029427351,.070806362,.068702161,.07291057,.0010735933,-.020759322,.0031324578,-.026898826,-.014619817,.79690754,.74841803,.84539706,.024740001,.63170195,.61767942,.64572453,.0071544982,-.1652056,.025753727,-.21568197,-.11472922,.16402966,.0052715801,.15369755,.17436177,.18236445,.00276508,.17694499,.18778391,.23139703,.0216664,.036233284
6,1,.3211641,.30090222,.34142601,.010337893,.1953506,.18998584,.20071535,.0027371694,.13083109,.1225771,.1390851,.0042113014,.11133296,.10827551,.1143904,.0015599503,-.019498132,.0044909357,-.028300205,-.01069606,1.0480634,.98303246,1.1130942,.033179626,.86371553,.84503216,.8823989,.0095325084,-.18434787,.034521822,-.25200939,-.11668634,.23436923,.0075440747,.21958312,.24915534,.28674224,.0040177107,.27886766,.29461682,.14098471,.087917529,.12140873
7,2,.35533965,.329826,.38085333,.013017415,.23992349,.23348786,.24635914,.0032835503,.13760005,.12772025,.14747985,.0050408058,.1360821,.13243186,.13973233,.0018623981,-.0015179515,.0053738486,-.012050501,.0090145981,1.0911946,1.0120884,1.170301,.040361084,.96966618,.94815999,.99117237,.010972748,-.12152845,.041826047,-.20350599,-.0395509,.24649507,.0090300385,.22879651,.26419362,.35048458,.0047966768,.34108326,.3598859,0,,
8,3,.35694495,.32566327,.38822663,.015960334,.26693958,.25960916,.27427,.0037400776,.1300721,.11867294,.14147127,.0058160075,.15289122,.14869267,.15708975,.0021421534,.022819117,.0061979648,.010671329,.034966905,1.0694427,.97565591,1.1632297,.047851335,1.0041476,.97983539,1.0284599,.012404441,-.0652951,.049432989,-.16218197,.031591777,.23300959,.010418725,.21258926,.25342992,.3937771,.0055171968,.3829636,.40459061,.1759682,.13284062,.096146643
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.27220792,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.34296378,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.39541176,,
