i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,-.056803696,-.093707569,-.019899819,.018828854,-.0023543222,-.0080705313,.0033618871,.0029164869,-.0090062199,-.014857325,-.0031551141,.0029853126,-.00077509595,-.0026570009,.001106809,.00096017326,.0082311239,.0031359247,.0020848245,.014377424,-.12553342,-.19425599,-.05681086,.035063177,-.4166961,-.43249446,-.40089777,.008060528,-.29116267,.035977751,-.36167777,-.22064757,-.02704245,.0089638242,-.044611223,-.0094736777,-.0043375501,.0053732703,-.014868966,.006193866,,,
2,-3,-.032023463,-.059956014,-.004090914,.014251563,.0027553122,-.0019143583,.0074249827,.0023825287,-.0055212281,-.010337134,-.00070532248,.00245714,.00090400269,-.00062809041,.0024360958,.00078169454,.0064252308,.0025784848,.0013714933,.011478968,-.16244756,-.21594307,-.10895206,.027294125,-.36288843,-.37596858,-.34980828,.0066736685,-.20044087,.02809817,-.25551227,-.14536947,-.01657827,.0073779109,-.031038709,-.0021178306,.0050589312,.0043744771,-.0035148864,.013632748,,,
3,-2,-.026256774,-.047741275,-.004772271,.010961683,.0020706595,-.0014804897,.005621809,.0018118442,-.004492789,-.0081689963,-.00081658195,.0018756504,.00067082787,-.00047963162,.0018212874,.00058697991,.005163617,.0019653523,.0013115972,.0090156365,-.10508465,-.14433612,-.065833174,.02002663,-.22185291,-.23154484,-.21216097,.0049449536,-.11676826,.020628098,-.15719859,-.076337934,-.013490235,.005631906,-.024528569,-.0024519025,.0037540509,.0032848255,-.0026840887,.01019219,,,
4,-1,9.2099979e-30,-1.7613191e-09,1.7613191e-09,8.9864871e-10,0,0,0,0,1.9590221e-30,-3.7464321e-10,3.7464321e-10,1.9114800e-10,0,0,0,0,-1.9590221e-30,1.9114800e-10,-3.7464321e-10,3.7464321e-10,-1.0177318e-29,-1.0177318e-29,-1.0177318e-29,0,0,0,0,0,1.0177318e-29,0,1.0177318e-29,1.0177318e-29,5.8822414e-30,5.7394894e-10,-1.1249193e-09,1.1249193e-09,0,0,0,0,.27916807,0,0
5,0,.00086934544,-.02037837,.02211706,.01084087,-.033936024,-.03789809,-.029973956,.0020214999,.00018837239,-.0044156467,.0047923913,.0023490326,-.013414347,-.014980486,-.011848208,.00079906522,-.013602719,.0024812212,-.018465823,-.0087396149,.73258609,.68006474,.78510749,.026797114,.58495533,.57041889,.59949178,.0074166874,-.14763075,.027804542,-.20212665,-.09313485,.00056561478,.0070533031,-.013258605,.014389834,-.075068645,.0044716857,-.083832987,-.066304304,.21474005,.00083796523,1.6524238e-07
6,1,.069934689,.034464195,.10540518,.018097524,-.021590667,-.027373271,-.015808061,.0029503629,.011048564,.0054447926,.016652334,.0028591193,-.0071937544,-.0091204504,-.0052670585,.00098302623,-.018242318,.0030233928,-.024168059,-.012316577,.9691236,.89714628,1.0411009,.036723781,.80633861,.78650272,.8261745,.010120538,-.16278499,.038092799,-.2374455,-.088124476,.033174876,.008584911,.016348761,.050000992,-.040257301,.0055011585,-.051039375,-.029475229,.13039568,.00039686976,.00093615649
7,2,.094537131,.049380548,.13969372,.023039497,-.0085629374,-.015529897,-.0015959784,.0035546364,.013512988,.0070583774,.019967597,.0032932288,-.0027649784,-.0050146147,-.00051534252,.0011477947,-.016277965,.003487519,-.023113377,-.0094425539,1.029772,.94216961,1.1173744,.044695925,.91723889,.89432853,.94014925,.011689172,-.11253315,.046199162,-.20308185,-.02198446,.040574659,.0098883864,.021193778,.059955541,-.015473224,.006423227,-.028062519,-.0028839307,0,,
8,3,.12806036,.074049547,.18207116,.027557041,.010355655,.0022532465,.018458065,.0041339584,.017244788,.0099716168,.024517961,.0037108702,.0032658975,.00071061379,.005821181,.0013037401,-.01397889,.0039332295,-.021687878,-.006269902,1.0702529,.96128988,1.1792158,.055594366,.98373497,.95740092,1.010069,.013435985,-.08651793,.057194922,-.19861792,.025582056,.051779918,.011142413,.02994119,.07361865,.01827644,.00729592,.0039766994,.032576181,.162633,.000065583779,.0018285508
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.24727094,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.31249779,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.36215457,,
