i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,.00056600774,-.0068840072,.0080160229,.0038010979,.00046949708,-.00051272567,.0014517199,.00050114328,.0055087847,-.066999994,.078017563,.036994953,.011593432,-.01266089,.035847753,.012374882,.0060846475,.039009798,-.070373155,.082542449,-.12679501,-.16612516,-.087464854,.020066774,-.36226052,-.37533915,-.34918189,.0066728932,-.23546551,.021147173,-.2769132,-.19401781,.00020252465,.0013600803,-.0024631838,.002868233,.00092048105,.00098252564,-.0010052338,.0028461958,,,
2,-3,.0050020386,-.00027072817,.010274806,.0026902368,.00075551792,-.000012953867,.0015239897,.00039208465,.056331996,-.0030488884,.11571288,.030296927,.019526139,-.0003347889,.03938707,.010133313,-.036805857,.03194664,-.099420123,.025808407,-.13783565,-.17025937,-.10541192,.01654302,-.31758985,-.32858089,-.30659881,.0056077749,-.1797542,.017467646,-.21399015,-.14551824,.0020709862,.0011138346,-.00011208942,.0042540617,.0015503123,.00080455228,-.00002658123,.0031272059,,,
3,-2,.0028485332,-.00074055843,.0064376248,.0018312029,.000051192954,-.00051904895,.00062143488,.00029094508,.036275439,-.0094308481,.081981726,.023319963,.0013933447,-.01412722,.016913909,.0079188012,-.034882095,.024627792,-.083151683,.01338749,-.11662112,-.14101584,-.092226401,.012446515,-.22280775,-.23087962,-.21473587,.0041183801,-.10618663,.013110179,-.1318821,-.080491148,.0013336282,.00085733383,-.00034671521,.0030139717,.00011062706,.0006287272,-.0011216556,.0013429098,,,
4,-1,-8.7540165e-31,-2.1731852e-10,2.1731852e-10,1.1087883e-10,0,0,0,0,-1.4575960e-29,-3.6184833e-09,3.6184833e-09,1.8461989e-09,0,0,0,0,1.4575960e-29,1.8461989e-09,-3.6184833e-09,3.6184833e-09,1.1790414e-29,-3.6527550e-09,3.6527550e-09,1.8636848e-09,0,0,0,0,-1.1790414e-29,1.8636848e-09,-3.6527550e-09,3.6527550e-09,-5.3586974e-31,6.7873547e-11,-1.3302971e-10,1.3302971e-10,0,0,0,0,.69134408,0,0
5,0,.019063774,.015546111,.022581438,.0017947591,.008746244,.008120127,.0093723601,.00031945307,.34033346,.27753484,.40313205,.032040693,.31678113,.29410374,.3394585,.011570303,-.023552328,.034065787,-.090320043,.043215387,.60466141,.57015598,.63916683,.017605133,.53303093,.5192191,.54684269,.0070469645,-.071630478,.018963134,-.10879754,-.034463417,.012512,.0011779423,.010203276,.014820725,.025151398,.00091864466,.023350887,.026951909,.51613617,.19442599,.22441144
6,1,.023683405,.017587231,.029779578,.0031103496,.010491799,.0095616682,.01142193,.00047456531,.2914921,.21646123,.36652297,.038281761,.30342513,.27652556,.33032471,.013724525,.011933029,.040667627,-.067774057,.091640115,.88279295,.83457309,.93101275,.024602406,.76479119,.74596024,.78362215,.0096078068,-.11800176,.026411897,-.16976812,-.066235393,.010716399,.0014073885,.0079579689,.013474829,.024090974,.0010896829,.021955235,.026226712,.3022624,.30459234,.28110558
7,2,.021519208,.015573827,.027464587,.0030334131,.011309301,.010276819,.012341784,.00052678661,.2875073,.20807405,.36694053,.040527906,.30788898,.27978024,.3359977,.014341453,.020381689,.042990562,-.063878261,.10464164,.94048291,.88360363,.9973622,.029020576,.87080449,.84924322,.89236575,.011000847,-.069678426,.031035664,-.13050722,-.0088496432,.010569902,.0014899656,.0076496233,.013490181,.02444539,.001138665,.022213647,.026677134,0,,
8,3,.01704728,.010849198,.023245363,.0031623449,.011798746,.010543817,.013053674,.00064028153,.26142561,.16637599,.35647523,.048495594,.31337148,.28004092,.34670204,.017005701,.051945865,.051390823,-.048778296,.15267003,.92437476,.85927469,.98947483,.033214934,.91232204,.88827926,.93636489,.012266967,-.012052715,.035407774,-.081450678,.057345249,.0096110366,.0017828892,.006116638,.013105435,.024880683,.0013501976,.022234345,.027527021,.41432384,.23701674,.16495153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.67830992,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.87145478,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0532295,,
