i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,-.24670921,-.30447394,-.18894449,.02947234,-.36747131,-.37923345,-.35570917,.0060012033,-.085114233,-.10504296,-.06518551,.010167903,-.20803222,-.21469098,-.20137344,.0033973942,-.12291799,.010720473,-.14392973,-.10190625,-.24670921,-.30447394,-.18894449,.02947234,-.36747131,-.37923345,-.35570917,.0060012033,-.12076209,.030077122,-.17971218,-.061812017,-.15247262,.01821466,-.1881727,-.11677254,-.53579485,.0087501174,-.55294478,-.51864493,,,
2,-3,-.19945621,-.2421684,-.15674402,.021792334,-.28667361,-.29620206,-.27714515,.0048615476,-.072756067,-.088336289,-.057175849,.0079492377,-.15823467,-.16349408,-.15297526,.0026834216,-.085478604,.0083899423,-.10192259,-.069034621,-.1994562,-.2421684,-.15674402,.021792334,-.28667361,-.29620206,-.27714515,.0048615476,-.087217405,.022328019,-.13097952,-.043455292,-.13033433,.014240168,-.15824455,-.10242411,-.40753937,.0069112536,-.42108518,-.39399356,,,
3,-2,-.10897581,-.13767724,-.080274366,.014643859,-.17416447,-.18050717,-.16782178,.003236128,-.039877173,-.050379798,-.029374547,.005358581,-.092909254,-.096292809,-.0895257,.001726335,-.053032082,.0056297979,-.064066283,-.04199788,-.10897581,-.13767724,-.080274366,.014643859,-.17416447,-.18050717,-.16782178,.003236128,-.065188669,.014997171,-.094582587,-.035794754,-.071435489,.0095992973,-.090249769,-.052621212,-.2392913,.0044462411,-.24800576,-.23057683,,,
4,-1,5.6184267e-30,5.6184267e-30,5.6184267e-30,0,0,0,0,0,2.6821050e-30,,,,0,0,0,0,-2.6821050e-30,,,,-1.2968823e-30,-1.2968823e-30,-1.2968823e-30,0,0,0,0,0,1.2968823e-30,0,1.2968823e-30,1.2968823e-30,4.8046904e-30,,,,0,0,0,0,.82145327,0,0
5,0,.63452291,.59488291,.67416292,.020224866,.42502886,.41446465,.43559304,.0053899935,.27985454,.26237142,.29733762,.0089201126,.25374615,.24743924,.26005307,.0032178736,-.026108384,.0094827805,-.044694293,-.0075224759,.63452291,.59488291,.67416292,.020224866,.42502886,.41446465,.43559304,.0053899935,-.20949405,.020930773,-.25051761,-.16847049,.50132805,.015979381,.47000903,.53264707,.6535328,.0082877548,.63728911,.6697765,.61959743,.10391765,.12640233
6,1,.89785558,.84417462,.95153654,.027388746,.60044241,.58634102,.61454374,.0071947016,.36575517,.34388742,.38762292,.011157221,.34220028,.33416373,.35023683,.0041003581,-.023554891,.011886821,-.046852633,-.00025715004,.89785558,.84417462,.95153654,.027388746,.60044241,.58634102,.61454374,.0071947016,-.29741317,.028317966,-.35291538,-.24191098,.65520942,.019986911,.61603582,.69438303,.88134974,.010560627,.86065131,.90204817,.34823707,.33626813,.38415453
7,2,.97394043,.90987229,1.0380086,.032688428,.6906296,.67459828,.70666093,.0081793973,.3771441,.35233465,.40195352,.012658108,.39171788,.38262507,.40081069,.004639273,.014573783,.013481489,-.011849451,.040997017,.97394043,.90987229,1.0380086,.032688428,.6906296,.67459828,.70666093,.0081793973,-.28331083,.033696231,-.34935424,-.21726744,.67561138,.022675581,.63116807,.72005469,1.0088842,.011948623,.98546535,1.0323031,0,,
8,3,.94753641,.87190652,1.0231663,.038587388,.72975618,.7122162,.74729615,.0089491326,.34528586,.31772605,.37284568,.014061389,.41797212,.40792599,.42801824,.0051256679,.072686255,.014966467,.043352518,.10202,.94753641,.87190652,1.0231663,.038587388,.72975618,.7122162,.74729615,.0089491326,-.21778023,.039611533,-.2954174,-.14014305,.61854094,.025189403,.56917059,.66791129,1.0765029,.013201351,1.0506288,1.1023771,.49635303,.35196862,.24019663
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.80584836,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0208914,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1742606,,
