i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,-.19327825,-.25621042,-.13034609,.032108836,-.17801595,-.18825923,-.16777268,.0052262563,-.030658616,-.040641181,-.020676048,.0050932397,-.058607262,-.061979599,-.05523492,.001720613,-.027948646,.0053760209,-.038485453,-.017411839,-.18411976,-.23475401,-.13348551,.025834275,-.3751899,-.38911119,-.36126861,.0071028299,-.19107014,.02679291,-.24358328,-.138557,-.092068501,.015295112,-.12204637,-.062090632,-.32812187,.0096331192,-.34700245,-.30924129,,,
2,-3,-.094180115,-.14009003,-.048270192,.02342386,-.12870222,-.13679162,-.12061284,.0041273152,-.016237779,-.024153197,-.0083223581,.0040385537,-.04222649,-.044880573,-.039572407,.0013541488,-.025988711,.0042595346,-.034337245,-.017640177,-.16317864,-.2046483,-.12170898,.021158379,-.32014668,-.33186701,-.30842635,.00597987,-.15696804,.021987174,-.20006211,-.11387397,-.048762407,.012127866,-.072532587,-.024992226,-.23641157,.0075814128,-.25127086,-.22155228,,,
3,-2,-.053987559,-.086550005,-.021425113,.016613798,-.07697086,-.082533389,-.071408331,.002838077,-.0092377961,-.014809547,-.0036660449,.0028427823,-.024936114,-.026738195,-.02313403,.00091944658,-.015698317,.0029877739,-.021554247,-.0098423883,-.1171544,-.14459357,-.089715235,.013999832,-.20408085,-.21200036,-.19616136,.0040406343,-.086926453,.014571274,-.11548562,-.058367282,-.027741306,.0085369386,-.044473398,-.011009214,-.13960871,.0051476648,-.14969794,-.12951948,,,
4,-1,1.2564979e-30,1.2564979e-30,1.2564979e-30,0,0,0,0,0,2.6676873e-31,,,,0,0,0,0,-2.6676873e-31,,,,-1.2704261e-28,-1.2704261e-28,-1.2704261e-28,0,0,0,0,0,1.2704261e-28,0,1.2704261e-28,1.2704261e-28,8.0111238e-31,,,,0,0,0,0,.59137726,0,0
5,0,.41226557,.37405577,.45047536,.019495152,.23266427,.22527511,.24005343,.0037700478,.089198567,.080931418,.097465709,.0042180088,.091932513,.089012839,.094852187,.001489657,.0027339458,.0044733295,-.0060336189,.011501511,.63339025,.59527177,.67150867,.019448547,.48125339,.46950272,.49300408,.0059953565,-.15213686,.020351665,-.19202539,-.11224833,.26786527,.012666774,.24303885,.29269168,.51469845,.0083400765,.4983522,.53104472,.43376562,.019484226,.018342588
6,1,.63070351,.56772619,.69368088,.032131888,.33242792,.32175714,.3430987,.0054443763,.099428661,.089500464,.10935687,.0050655017,.11070603,.10715242,.11425965,.0018130998,.01127737,.0053802081,.00073235598,.021822384,.89370418,.83840984,.94899851,.028211914,.70473152,.68756723,.72189587,.0087574674,-.18897265,.029539894,-.24686979,-.13107552,.29858646,.015211814,.26877186,.32840106,.61980492,.010150922,.59990948,.63970035,.24246798,.050546158,.040772635
7,2,.71910983,.6380083,.80021131,.041379079,.39864841,.38577127,.41152555,.0065700882,.10250831,.090947375,.11406924,.0058985432,.12864627,.12449074,.13280182,.002120212,.026137963,.006268023,.013852864,.038423061,.94549471,.8795132,1.0114762,.033664636,.81679565,.79681367,.83677763,.010195076,-.12869906,.035174526,-.19763987,-.059758261,.30783471,.017713455,.27311698,.34255245,.72024614,.011870337,.69698071,.74351156,0,,
8,3,.71250135,.61709291,.80790973,.048678655,.44076967,.42607093,.45546845,.0074995044,.096001387,.0831462,.10885657,.0065588895,.13900794,.13437232,.14364357,.0023651579,.043006554,.0069723027,.029341092,.056672018,.99986225,.9181233,1.0816011,.041704297,.89837211,.87489265,.92185163,.011979553,-.10149014,.043390762,-.18653446,-.01644581,.28829429,.019696491,.24968988,.32689869,.77825755,.013241705,.75230426,.80421084,.32845768,.058830127,.02805922
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.52374291,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.68480974,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.80919224,,
