i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,-.077885568,-.108939,-.046832137,.015843879,-.08380226,-.091225393,-.076379128,.0037873823,-.026535966,-.03711601,-.015955921,.0053980811,-.041783378,-.045484513,-.038082242,.0018883691,-.015247412,.0057188477,-.026456147,-.0040386766,-.15374085,-.26780877,-.039672934,.058198985,-.33262411,-.35428455,-.31096366,.011051452,-.17888325,.059238978,-.29498953,-.06277699,-.053851832,.010954814,-.075322874,-.03238079,-.11719431,.0052965111,-.12757528,-.10681334,,,
2,-3,-.041946311,-.067375906,-.01651671,.012974523,-.059647419,-.065601043,-.053693797,.0030376185,-.013685402,-.021982061,-.0053887414,.0042330674,-.02884209,-.031720921,-.025963258,.0014688186,-.015156688,.0044806572,-.023938615,-.0063747615,-.15419354,-.2450712,-.063315861,.046367012,-.28868049,-.30683661,-.27052438,.0092634922,-.13448696,.047283318,-.22716056,-.041813359,-.027773023,.0085905464,-.044610184,-.010935861,-.080896497,.0041197529,-.088971063,-.07282193,,,
3,-2,-.019735193,-.038768936,-.00070145092,.0097112712,-.03498489,-.039529167,-.030440612,.0023185515,-.0065665892,-.012899782,-.00023339727,.0032312798,-.016540991,-.018689543,-.014392439,.0010962201,-.0099744014,.0034121647,-.016662121,-.0032866814,-.064982288,-.14037299,.010408419,.038465351,-.18252346,-.19662546,-.16842145,.0071950327,-.11754117,.039132491,-.19423944,-.040842898,-.013326173,.0065575279,-.026178692,-.00047365416,-.046394289,.0030746858,-.05242056,-.040368017,,,
4,-1,4.3585198e-30,-1.0315612e-09,1.0315612e-09,5.2631638e-10,0,0,0,0,1.8585756e-30,-4.3988202e-10,4.3988202e-10,2.2443372e-10,0,0,0,0,-1.8585756e-30,2.2443372e-10,-4.3988202e-10,4.3988202e-10,-1.5554561e-29,-1.5554561e-29,-1.5554561e-29,0,0,0,0,0,1.5554561e-29,0,1.5554561e-29,1.5554561e-29,3.7717754e-30,4.5546364e-10,-8.9269231e-10,8.9269231e-10,0,0,0,0,.31581855,0,0
5,0,.12781918,.10809521,.14754316,.010063439,.094944,.08935786,.10053013,.0028501218,.051601734,.043638989,.059564479,.0040626996,.049090881,.046202563,.051979199,.0014736588,-.0025108531,.0043217125,-.010981254,.0059595476,.90377086,.81131494,.99622679,.047172256,.62223035,.60149848,.64296228,.010577693,-.28154051,.048343658,-.37629235,-.18678868,.10472006,.0082448032,.088560544,.12087958,.13769044,.0041333288,.12958926,.14579162,.25962034,.0092824567,.01025628
6,1,.21672477,.18862821,.24482131,.014335237,.1448151,.13770261,.15192761,.003628891,.075528964,.06573727,.085320666,.0049958564,.072760113,.069186546,.076333672,.0018232799,-.0027688518,.0053181699,-.013192274,.0076545696,1.1046292,.98905134,1.2202071,.05896939,.73911285,.71357352,.76465219,.013030514,-.3655163,.060391914,-.48388228,-.24715033,.15327775,.010138543,.13340658,.17314893,.20407808,.0051139481,.19405493,.21410123,.17660095,.029977381,.032302342
7,2,.23459035,.19839928,.27078143,.018465174,.17150818,.16362108,.17939526,.0040240982,.069737129,.058978539,.080495715,.0054891766,.084726542,.080830246,.088622831,.0019879409,.014989413,.0058380621,.0035470219,.026431805,1.0842428,.94806123,1.2204244,.069481678,.78356171,.75667125,.81045222,.013719888,-.30068111,.070823297,-.43949223,-.16187,.14152385,.011139682,.11969048,.16335723,.2376416,.0055757905,.22671326,.24856995,0,,
8,3,.26326033,.21621685,.31030381,.024002217,.19694485,.1878881,.20600159,.0046208743,.070939086,.058262575,.083615586,.0064677238,.098723926,.094183989,.10326387,.0023163387,.027784839,.0068699983,.01431989,.041249789,1.0427703,.88637012,1.1991704,.079797439,.7934432,.76343209,.82345432,.015312076,-.24932706,.081253253,-.40858051,-.090073615,.1439631,.013125536,.11823752,.16968867,.27690157,.006496883,.2641679,.28963524,.235797,.041333918,.021341892
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.29727054,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.3456842,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.39695007,,
