i,t,coef_dbeta,lower_dbeta,upper_dbeta,se_dbeta,coef_beta1,lower_beta1,upper_beta1,se_beta1,coef_dCov,lower_dCov,upper_dCov,se_dCov,coef_Cov1,lower_Cov1,upper_Cov1,se_Cov1,coef_Cov0,se_Cov0,lower_Cov0,upper_Cov0,coef_dVarY,lower_dVarY,upper_dVarY,se_dVarY,coef_VarY1,lower_VarY1,upper_VarY1,se_VarY1,coef_VarY0,se_VarY0,lower_VarY0,upper_VarY0,coef_cov_beta,se_cov_beta,lower_cov_beta,upper_cov_beta,coef_var_beta,se_var_beta,lower_var_beta,upper_var_beta,VarY1,Rsq,dRsq
1,-4,-.054368488,-.10257667,-.0061603016,.024596466,-.058972068,-.068222351,-.049721781,.0047196201,-.0092240069,-.017402874,-.0010451396,.0041729682,-.017126987,-.019813506,-.014440469,.001370698,-.0079029799,.0043923203,-.01651177,.00070580974,-.093585655,-.20452389,.017352588,.056602184,-.29987469,-.32046971,-.27927971,.010507845,-.20628904,.05756928,-.31912276,-.093455322,-.030616758,.013851113,-.057764441,-.0034690765,-.090811446,.0072677741,-.10505603,-.076566868,,,
2,-3,-.025938578,-.064160004,.012282846,.019501084,-.045365915,-.053232256,-.037499577,.0040135123,-.0047706827,-.011800454,.0022590891,.0035866841,-.013411755,-.015737321,-.011086189,.0011865351,-.0086410716,.0037778523,-.016045526,-.0012366172,-.12741239,-.22162943,-.033195376,.048070792,-.26638281,-.2845206,-.24824503,.0092541408,-.13897042,.048953447,-.23491742,-.043023426,-.015835075,.011905091,-.039168622,.0074984748,-.071112387,.0062912977,-.083443105,-.058781669,,,
3,-2,-.024778506,-.055426743,.0058697304,.015637143,-.032568902,-.038635086,-.026502714,.0030950499,-.0044940216,-.010052623,.0010645798,.0028360733,-.0096138846,-.011404538,-.0078232316,.00091361522,-.005119863,.002979598,-.010959768,.0007200418,-.050624162,-.1301779,.028929574,.040589388,-.16871274,-.18310159,-.15432389,.0073413858,-.11808857,.041247964,-.19893309,-.037244048,-.014916768,.0094136279,-.033367138,.0035336034,-.050975155,.0048442101,-.060469631,-.041480679,,,
4,-1,-1.1690446e-30,-1.1690446e-30,-1.1690446e-30,0,0,0,0,0,-2.5654734e-31,,,,0,0,0,0,2.5654734e-31,,,,1.0292885e-30,-7.3935511e-09,7.3935511e-09,3.7722891e-09,0,0,0,0,-1.0292885e-30,3.7722891e-09,-7.3935507e-09,7.3935507e-09,-8.5154400e-31,,,,0,0,0,0,.29325491,0,0
5,0,.082891457,.053459138,.11232377,.015016763,.090012558,.0834921,.096533015,.0033268251,.019424334,.012527325,.026321344,.0035189469,.032424681,.030075857,.034773506,.0011984018,.013000347,.0037174122,.0057143527,.02028634,.78343397,.68680757,.88006037,.049300089,.55633849,.53579509,.57688189,.010481518,-.22709548,.050401993,-.32588157,-.1283094,.064474165,.011680255,.041581288,.087367043,.17192355,.0063542179,.15946952,.18437758,.24133463,.0043564402,.0015634091
6,1,.13020611,.080820486,.17959173,.02519721,.12546578,.11660186,.13432969,.0045224885,.020226125,.012554597,.027897654,.0039141169,.037237715,.034606941,.039868485,.0013422553,.01701159,.004137869,.008901516,.025121665,.99874228,.87038529,1.1270993,.065489464,.67097139,.64485866,.69708419,.013323084,-.32777089,.066830941,-.45875713,-.19678465,.067135505,.012991921,.041671809,.092599206,.19744341,.0071169636,.18349442,.2113924,.16342928,.0084846942,.0025031997
7,2,.19411495,.13273536,.25549453,.031316694,.15953001,.149059,.17000103,.0053424533,.027322019,.018682733,.035961304,.0044078794,.046180587,.043149449,.049211726,.0015465276,.018858569,.0046713115,.0097029665,.028014172,.97858071,.83383131,1.12333,.073853061,.72321624,.69610047,.750332,.013834827,-.25536448,.07513772,-.4026317,-.10809726,.090688534,.014630841,.062012613,.11936446,.24486069,.0082000652,.22878887,.26093253,0,,
8,3,.22334802,.14974718,.29694885,.037552137,.17771702,.16627091,.18916312,.005839956,.028307782,.018979397,.037636168,.0047594681,.05028135,.04704291,.053519785,.0016522945,.021973567,.0050381161,.012099041,.031848092,.98306292,.8115257,1.1546003,.087520629,.74513727,.71451217,.77576232,.015625326,-.23792565,.088904507,-.41217527,-.063676015,.093960531,.015797852,.062997311,.12492375,.26660395,.0087608676,.24943297,.28377494,.21458445,.011781907,.0037343365
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.26853615,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.31508258,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.35836279,,
